nMed	DataHora	Tensao
1	15/03/2017 12:27:06	9.904579
2	15/03/2017 12:27:08	9.903850
3	15/03/2017 12:27:09	9.904073
4	15/03/2017 12:27:11	9.904902
5	15/03/2017 12:27:12	9.905653
6	15/03/2017 12:27:14	9.904827
7	15/03/2017 12:27:15	9.903703
8	15/03/2017 12:27:17	9.903091
9	15/03/2017 12:27:19	9.903534
10	15/03/2017 12:27:20	9.903889
11	15/03/2017 12:27:22	9.904580
12	15/03/2017 12:27:23	9.905971
13	15/03/2017 12:27:25	9.903490
14	15/03/2017 12:27:26	9.901971
15	15/03/2017 12:27:28	9.903291
16	15/03/2017 12:27:29	9.904422
17	15/03/2017 12:27:31	9.906356
18	15/03/2017 12:27:32	9.905223
19	15/03/2017 12:27:34	9.912060
20	15/03/2017 12:27:35	9.903806
21	15/03/2017 12:27:37	9.904705
22	15/03/2017 12:27:38	9.906963
23	15/03/2017 12:27:40	9.907131
24	15/03/2017 12:27:41	9.906106
25	15/03/2017 12:27:43	9.904748
26	15/03/2017 12:27:44	9.904055
27	15/03/2017 12:27:46	9.904611
28	15/03/2017 12:27:47	9.906292
29	15/03/2017 12:27:49	9.905502
30	15/03/2017 12:27:51	9.904685
31	15/03/2017 12:27:52	9.903437
32	15/03/2017 12:27:54	9.903448
33	15/03/2017 12:27:55	9.902658
34	15/03/2017 12:27:57	9.904314
35	15/03/2017 12:27:58	9.905064
36	15/03/2017 12:28:00	9.903026
37	15/03/2017 12:28:01	9.902630
38	15/03/2017 12:28:03	9.903008
39	15/03/2017 12:28:04	9.902280
40	15/03/2017 12:28:06	9.905489
41	15/03/2017 12:28:07	9.906187
42	15/03/2017 12:28:09	9.905450
43	15/03/2017 12:28:10	9.904067
44	15/03/2017 12:28:12	9.904509
45	15/03/2017 12:28:13	9.905986
46	15/03/2017 12:28:15	9.907496
47	15/03/2017 12:28:17	9.906882
48	15/03/2017 12:28:18	9.905558
49	15/03/2017 12:28:20	9.904137
50	15/03/2017 12:28:21	9.904650
51	15/03/2017 12:28:23	9.905698
52	15/03/2017 12:28:24	9.905601
53	15/03/2017 12:28:26	9.904553
54	15/03/2017 12:28:27	9.903757
55	15/03/2017 12:28:29	9.903300
56	15/03/2017 12:28:30	9.904131
57	15/03/2017 12:28:32	9.903630
58	15/03/2017 12:28:33	9.905389
59	15/03/2017 12:28:35	9.907274
60	15/03/2017 12:28:36	9.902665
61	15/03/2017 12:28:38	9.903156
62	15/03/2017 12:28:39	9.904242
63	15/03/2017 12:28:41	9.906332
64	15/03/2017 12:28:42	9.906803
65	15/03/2017 12:28:44	9.906149
66	15/03/2017 12:28:45	9.904484
67	15/03/2017 12:28:47	9.904435
68	15/03/2017 12:28:49	9.905274
69	15/03/2017 12:28:50	9.907569
70	15/03/2017 12:28:52	9.907542
71	15/03/2017 12:28:53	9.906508
72	15/03/2017 12:28:55	9.904236
73	15/03/2017 12:28:56	9.904357
74	15/03/2017 12:28:58	9.904724
75	15/03/2017 12:28:59	9.905777
76	15/03/2017 12:29:01	9.904808
77	15/03/2017 12:29:02	9.904330
78	15/03/2017 12:29:04	9.903438
79	15/03/2017 12:29:05	9.903542
80	15/03/2017 12:29:07	9.901374
81	15/03/2017 12:29:08	9.904020
82	15/03/2017 12:29:10	9.906118
83	15/03/2017 12:29:11	9.904158
84	15/03/2017 12:29:13	9.903775
85	15/03/2017 12:29:14	9.904418
86	15/03/2017 12:29:16	9.905739
87	15/03/2017 12:29:17	9.907201
88	15/03/2017 12:29:19	9.907553
89	15/03/2017 12:29:21	9.906417
90	15/03/2017 12:29:22	9.904588
91	15/03/2017 12:29:24	9.905095
92	15/03/2017 12:29:25	9.906593
93	15/03/2017 12:29:27	9.907243
94	15/03/2017 12:29:28	9.906080
95	15/03/2017 12:29:30	9.904929
96	15/03/2017 12:29:31	9.904222
97	15/03/2017 12:29:33	9.904790
98	15/03/2017 12:29:34	9.905154
99	15/03/2017 12:29:36	9.904511
100	15/03/2017 12:29:37	9.904085
101	15/03/2017 12:29:39	9.903512
102	15/03/2017 12:29:40	9.903306
103	15/03/2017 12:29:42	9.904407
104	15/03/2017 12:29:43	9.903380
105	15/03/2017 12:29:45	9.906438
106	15/03/2017 12:29:46	9.906481
107	15/03/2017 12:29:48	9.904906
108	15/03/2017 12:29:49	9.903942
109	15/03/2017 12:29:51	9.904993
110	15/03/2017 12:29:52	9.907543
111	15/03/2017 12:29:54	9.907352
112	15/03/2017 12:29:56	9.906612
113	15/03/2017 12:29:57	9.904686
114	15/03/2017 12:29:59	9.904772
115	15/03/2017 12:30:00	9.905489
116	15/03/2017 12:30:02	9.907689
117	15/03/2017 12:30:03	9.907637
118	15/03/2017 12:30:05	9.906480
119	15/03/2017 12:30:06	9.904373
120	15/03/2017 12:30:08	9.904387
121	15/03/2017 12:30:09	9.904446
122	15/03/2017 12:30:11	9.904766
123	15/03/2017 12:30:12	9.904239
124	15/03/2017 12:30:14	9.903967
125	15/03/2017 12:30:15	9.903335
126	15/03/2017 12:30:17	9.903447
127	15/03/2017 12:30:18	9.901283
128	15/03/2017 12:30:20	9.903938
129	15/03/2017 12:30:21	9.906874
130	15/03/2017 12:30:23	9.905133
131	15/03/2017 12:30:25	9.904177
132	15/03/2017 12:30:26	9.904740
133	15/03/2017 12:30:28	9.906059
134	15/03/2017 12:30:29	9.907563
135	15/03/2017 12:30:31	9.907763
136	15/03/2017 12:30:32	9.906457
137	15/03/2017 12:30:34	9.904715
138	15/03/2017 12:30:35	9.905074
139	15/03/2017 12:30:37	9.906612
140	15/03/2017 12:30:38	9.907510
141	15/03/2017 12:30:40	9.906257
142	15/03/2017 12:30:41	9.904953
143	15/03/2017 12:30:43	9.904185
144	15/03/2017 12:30:44	9.904782
145	15/03/2017 12:30:46	9.905162
146	15/03/2017 12:30:47	9.904518
147	15/03/2017 12:30:49	9.905589
148	15/03/2017 12:30:50	9.902997
149	15/03/2017 12:30:52	9.903468
150	15/03/2017 12:30:54	9.904661
151	15/03/2017 12:30:55	9.905796
152	15/03/2017 12:30:57	9.906588
153	15/03/2017 12:30:58	9.906325
154	15/03/2017 12:31:00	9.904895
155	15/03/2017 12:31:01	9.904784
156	15/03/2017 12:31:03	9.905731
157	15/03/2017 12:31:04	9.908261
158	15/03/2017 12:31:06	9.908210
159	15/03/2017 12:31:07	9.907112
160	15/03/2017 12:31:09	9.904784
161	15/03/2017 12:31:10	9.904915
162	15/03/2017 12:31:12	9.905390
163	15/03/2017 12:31:13	9.906291
164	15/03/2017 12:31:15	9.905189
165	15/03/2017 12:31:16	9.904902
166	15/03/2017 12:31:18	9.903904
167	15/03/2017 12:31:20	9.904001
168	15/03/2017 12:31:21	9.901550
169	15/03/2017 12:31:23	9.904115
170	15/03/2017 12:31:24	9.904323
171	15/03/2017 12:31:26	9.904625
172	15/03/2017 12:31:27	9.904465
173	15/03/2017 12:31:29	9.905138
174	15/03/2017 12:31:30	9.906564
175	15/03/2017 12:31:32	9.908038
176	15/03/2017 12:31:33	9.908175
177	15/03/2017 12:31:35	9.906991
178	15/03/2017 12:31:36	9.905244
179	15/03/2017 12:31:38	9.905708
180	15/03/2017 12:31:39	9.907098
181	15/03/2017 12:31:41	9.907808
182	15/03/2017 12:31:42	9.906623
183	15/03/2017 12:31:44	9.905423
184	15/03/2017 12:31:45	9.904768
185	15/03/2017 12:31:47	9.905522
186	15/03/2017 12:31:49	9.905723
187	15/03/2017 12:31:50	9.904788
188	15/03/2017 12:31:52	9.904477
189	15/03/2017 12:31:53	9.903875
190	15/03/2017 12:31:55	9.904040
191	15/03/2017 12:31:56	9.905136
192	15/03/2017 12:31:58	9.904029
193	15/03/2017 12:31:59	9.904504
194	15/03/2017 12:32:01	9.903496
195	15/03/2017 12:32:02	9.903603
196	15/03/2017 12:32:04	9.904638
197	15/03/2017 12:32:05	9.905632
198	15/03/2017 12:32:07	9.908342
199	15/03/2017 12:32:08	9.907920
200	15/03/2017 12:32:10	9.907347
201	15/03/2017 12:32:11	9.905709
202	15/03/2017 12:32:13	9.905464
203	15/03/2017 12:32:14	9.906306
204	15/03/2017 12:32:16	9.908801
205	15/03/2017 12:32:17	9.908806
206	15/03/2017 12:32:19	9.907648
207	15/03/2017 12:32:20	9.905438
208	15/03/2017 12:32:22	9.905470
209	15/03/2017 12:32:23	9.905950
210	15/03/2017 12:32:25	9.907435
211	15/03/2017 12:32:26	9.906923
212	15/03/2017 12:32:28	9.906355
213	15/03/2017 12:32:29	9.904970
214	15/03/2017 12:32:31	9.904999
215	15/03/2017 12:32:33	9.904567
216	15/03/2017 12:32:34	9.905091
217	15/03/2017 12:32:36	9.904827
218	15/03/2017 12:32:37	9.904143
219	15/03/2017 12:32:39	9.904278
220	15/03/2017 12:32:40	9.904505
221	15/03/2017 12:32:42	9.902390
222	15/03/2017 12:32:43	9.904709
223	15/03/2017 12:32:45	9.905342
224	15/03/2017 12:32:46	9.905709
225	15/03/2017 12:32:48	9.905092
226	15/03/2017 12:32:49	9.905596
227	15/03/2017 12:32:51	9.906952
228	15/03/2017 12:32:52	9.908183
229	15/03/2017 12:32:54	9.908480
230	15/03/2017 12:32:55	9.907390
231	15/03/2017 12:32:57	9.905801
232	15/03/2017 12:32:58	9.906150
233	15/03/2017 12:33:00	9.907607
234	15/03/2017 12:33:01	9.908754
235	15/03/2017 12:33:03	9.908274
236	15/03/2017 12:33:04	9.906938
237	15/03/2017 12:33:06	9.905528
238	15/03/2017 12:33:07	9.906035
239	15/03/2017 12:33:09	9.906975
240	15/03/2017 12:33:11	9.906600
241	15/03/2017 12:33:12	9.905331
242	15/03/2017 12:33:14	9.904783
243	15/03/2017 12:33:15	9.904755
244	15/03/2017 12:33:17	9.905619
245	15/03/2017 12:33:18	9.905015
246	15/03/2017 12:33:20	9.904678
247	15/03/2017 12:33:21	9.903043
248	15/03/2017 12:33:23	9.903697
249	15/03/2017 12:33:24	9.904408
250	15/03/2017 12:33:26	9.905567
251	15/03/2017 12:33:27	9.906496
252	15/03/2017 12:33:29	9.906573
253	15/03/2017 12:33:30	9.906521
254	15/03/2017 12:33:32	9.905648
255	15/03/2017 12:33:33	9.905360
256	15/03/2017 12:33:35	9.906321
257	15/03/2017 12:33:36	9.908933
258	15/03/2017 12:33:38	9.909047
259	15/03/2017 12:33:39	9.908058
260	15/03/2017 12:33:41	9.905653
261	15/03/2017 12:33:42	9.905849
