fieldmap_name:     	BD-023
timestamp:         	2017-03-11_08-00-00
filename:          	2017-03-11_BD-023_Model09_Hall_I=991.63A.dat
nr_magnets:        	1

magnet_name:       	BD-023
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	991.63
NI_main[A.esp]:   	11899.56
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	2.5698439976e-04  -4.4761443254e-03  -2.8692487914e-05
-48.000	0.000	-741.500	2.4539601669e-04  -4.5632776792e-03  -2.5475019432e-05
-46.000	0.000	-741.500	2.3460240388e-04  -4.6471666763e-03  -2.2102046145e-05
-44.000	0.000	-741.500	2.2202753783e-04  -4.7300918377e-03  -1.9806499012e-05
-42.000	0.000	-741.500	2.0827633737e-04  -4.8104281993e-03  -1.6229888479e-05
-40.000	0.000	-741.500	1.9569030360e-04  -4.8879919081e-03  -1.3062403685e-05
-38.000	0.000	-741.500	1.8273015081e-04  -4.9635239477e-03  -1.1135254842e-05
-36.000	0.000	-741.500	1.6975883028e-04  -5.0362944771e-03  -9.1025848811e-06
-34.000	0.000	-741.500	1.5633149405e-04  -5.1051539503e-03  -6.8681289219e-06
-32.000	0.000	-741.500	1.4397626006e-04  -5.1729233048e-03  -5.1538735629e-06
-30.000	0.000	-741.500	1.3038326913e-04  -5.2376432984e-03  -3.4821969008e-06
-28.000	0.000	-741.500	1.1779723536e-04  -5.2986063753e-03  -2.6806066520e-06
-26.000	0.000	-741.500	1.0447599257e-04  -5.3560242451e-03  -1.8475451925e-06
-24.000	0.000	-741.500	9.2262216527e-05  -5.4107808882e-03  -1.6124367361e-06
-22.000	0.000	-741.500	7.9691073062e-05  -5.4618548986e-03  -1.2958733815e-06
-20.000	0.000	-741.500	6.8041267473e-05  -5.5093929874e-03  -1.3366008306e-06
-18.000	0.000	-741.500	5.6534781109e-05  -5.5532001590e-03  -7.0532536907e-07
-16.000	0.000	-741.500	4.4628117688e-05  -5.5935456930e-03  -1.1014923743e-06
-14.000	0.000	-741.500	3.2797767101e-05  -5.6291314754e-03  -2.1030173734e-06
-12.000	0.000	-741.500	2.2134444490e-05  -5.6606223486e-03  -2.8823926500e-06
-10.000	0.000	-741.500	1.0989048122e-05  -5.6888317232e-03  -4.5873917705e-06
-8.000	0.000	-741.500	5.2116081881e-07  -5.7133250372e-03  -6.1609523051e-06
-6.000	0.000	-741.500	-9.9653393711e-06  -5.7325980385e-03  -7.2365272117e-06
-4.000	0.000	-741.500	-1.9271782564e-05  -5.7477835589e-03  -8.4639044288e-06
-2.000	0.000	-741.500	-2.8157574525e-05  -5.7596262963e-03  -1.1862795184e-05
0.000	0.000	-741.500	-3.7110372877e-05  -5.7675431208e-03  -1.3982473786e-05
2.000	0.000	-741.500	-4.6310722617e-05  -5.7712183250e-03  -1.6703807887e-05
4.000	0.000	-741.500	-5.4334737938e-05  -5.7718014550e-03  -1.9321472118e-05
6.000	0.000	-741.500	-6.2014414861e-05  -5.7664697160e-03  -2.1459663197e-05
8.000	0.000	-741.500	-6.9589859620e-05  -5.7572083500e-03  -2.4882620172e-05
10.000	0.000	-741.500	-7.7429607366e-05  -5.7454696102e-03  -2.7652086713e-05
12.000	0.000	-741.500	-8.4716552386e-05  -5.7282264211e-03  -3.0486346923e-05
14.000	0.000	-741.500	-9.2686590337e-05  -5.7073414556e-03  -3.4792349045e-05
16.000	0.000	-741.500	-9.9441206807e-05  -5.6826847166e-03  -3.6899068914e-05
18.000	0.000	-741.500	-1.0574725271e-04  -5.6543676302e-03  -4.0197992294e-05
20.000	0.000	-741.500	-1.1218917269e-04  -5.6226279053e-03  -4.4761317844e-05
22.000	0.000	-741.500	-1.1920250828e-04  -5.5876066818e-03  -4.7908438913e-05
24.000	0.000	-741.500	-1.2474356456e-04  -5.5488935402e-03  -5.0357639604e-05
26.000	0.000	-741.500	-1.3204167731e-04  -5.5061430595e-03  -5.4528500645e-05
28.000	0.000	-741.500	-1.3755481426e-04  -5.4611139150e-03  -5.7646001751e-05
30.000	0.000	-741.500	-1.4362819909e-04  -5.4122944260e-03  -6.1274447220e-05
32.000	0.000	-741.500	-1.5026183180e-04  -5.3607914251e-03  -6.4634461773e-05
34.000	0.000	-741.500	-1.5718210295e-04  -5.3071861851e-03  -6.7755665375e-05
36.000	0.000	-741.500	-1.6291301067e-04  -5.2503087319e-03  -7.2335652154e-05
38.000	0.000	-741.500	-1.7092585826e-04  -5.1912454700e-03  -7.5081052476e-05
40.000	0.000	-741.500	-1.7815138076e-04  -5.1295785516e-03  -7.7996767584e-05
42.000	0.000	-741.500	-1.8500464552e-04  -5.0654268311e-03  -8.0629241796e-05
44.000	0.000	-741.500	-1.9179648777e-04  -5.0000568520e-03  -8.4718647938e-05
46.000	0.000	-741.500	-2.0042542189e-04  -4.9316765110e-03  -8.7995356346e-05
48.000	0.000	-741.500	-2.0874165953e-04  -4.8618754872e-03  -9.1159138644e-05
50.000	0.000	-741.500	-2.1721052284e-04  -4.7904030719e-03  -9.5776150378e-05
-50.000	0.000	-739.500	2.6725312918e-04  -4.7608658696e-03  -2.8403693274e-05
-48.000	0.000	-739.500	2.5477877272e-04  -4.8546049341e-03  -2.5371349562e-05
-46.000	0.000	-739.500	2.4344724749e-04  -4.9453113515e-03  -2.2388989537e-05
-44.000	0.000	-739.500	2.2988031460e-04  -5.0342925215e-03  -1.9595456776e-05
-42.000	0.000	-739.500	2.1598393362e-04  -5.1208910299e-03  -1.6072532426e-05
-40.000	0.000	-739.500	2.0280228749e-04  -5.2044123209e-03  -1.3086469905e-05
-38.000	0.000	-739.500	1.8914973532e-04  -5.2851628162e-03  -1.1205602254e-05
-36.000	0.000	-739.500	1.7564980883e-04  -5.3635900773e-03  -9.2062547516e-06
-34.000	0.000	-739.500	1.6160824734e-04  -5.4384405606e-03  -6.9736500401e-06
