fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
32.000	0.000	-741.500	-2.3645810865e-04, -5.1557321146e-03, 1.1359255813e-04
34.000	0.000	-741.500	-2.4390140192e-04, -5.1027118616e-03, 1.0867564427e-04
36.000	0.000	-741.500	-2.5221019440e-04, -5.0475485133e-03, 1.0466213928e-04
38.000	0.000	-741.500	-2.5980797462e-04, -4.9899597901e-03, 9.9467538267e-05
40.000	0.000	-741.500	-2.6726801948e-04, -4.9292418507e-03, 9.4739451673e-05
42.000	0.000	-741.500	-2.7510962852e-04, -4.8675786464e-03, 8.9485610735e-05
44.000	0.000	-741.500	-2.8284886668e-04, -4.8030183636e-03, 8.4305819704e-05
46.000	0.000	-741.500	-2.9164903936e-04, -4.7378118094e-03, 7.9768411621e-05
48.000	0.000	-741.500	-3.0116953075e-04, -4.6703934470e-03, 7.4198007328e-05
50.000	0.000	-741.500	-3.0976310039e-04, -4.6005719951e-03, 6.8229584783e-05
-50.000	0.000	-739.500	3.1378534514e-04, -4.5872547190e-03, 1.2107900378e-04
-48.000	0.000	-739.500	2.9763308233e-04, -4.6769880151e-03, 1.2761575936e-04
-46.000	0.000	-739.500	2.8087962330e-04, -4.7652913429e-03, 1.3313988246e-04
-44.000	0.000	-739.500	2.6544209533e-04, -4.8515630015e-03, 1.3816787118e-04
-42.000	0.000	-739.500	2.4832010114e-04, -4.9350657215e-03, 1.4442508837e-04
-40.000	0.000	-739.500	2.3101756196e-04, -5.0163584905e-03, 1.4956230070e-04
-38.000	0.000	-739.500	2.1423618359e-04, -5.0952648838e-03, 1.5367577306e-04
-36.000	0.000	-739.500	1.9645529323e-04, -5.1716660470e-03, 1.5827427232e-04
-34.000	0.000	-739.500	1.7929793456e-04, -5.2452518440e-03, 1.6208228881e-04
-32.000	0.000	-739.500	1.6271385279e-04, -5.3150640104e-03, 1.6593103276e-04
-30.000	0.000	-739.500	1.4482314639e-04, -5.3827405099e-03, 1.6941137841e-04
-28.000	0.000	-739.500	1.2795987133e-04, -5.4463109575e-03, 1.7211790253e-04
-26.000	0.000	-739.500	1.0989792638e-04, -5.5070307541e-03, 1.7418204370e-04
-24.000	0.000	-739.500	9.2867135335e-05, -5.5637930670e-03, 1.7706999009e-04
-22.000	0.000	-739.500	7.5659521871e-05, -5.6177028717e-03, 1.7872685677e-04
