fieldmap_name:		BD-033
timestamp:		2017-03-30_19-17-53
filename:		2017-03-30_BD-033_Model09_Hall_I=991.63A.dat
nr_magnets:		1

magnet_name:		BD-033
gap[mm]:		28
control_gap[mm]:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:		11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:		0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	3.0394657340e-04  -3.9221671797e-03  1.9737262349e-04
-48.000	0.000	-741.500	2.8984545067e-04  -4.0009565757e-03  2.0524968240e-04
-46.000	0.000	-741.500	2.7335629462e-04  -4.0789028474e-03  2.1235291978e-04
-44.000	0.000	-741.500	2.5723939630e-04  -4.1537459023e-03  2.1905073391e-04
-42.000	0.000	-741.500	2.4050268886e-04  -4.2263920058e-03  2.2529128987e-04
-40.000	0.000	-741.500	2.2419035523e-04  -4.2972794341e-03  2.3210017886e-04
-38.000	0.000	-741.500	2.0709255780e-04  -4.3657117739e-03  2.3759283075e-04
-36.000	0.000	-741.500	1.9105011102e-04  -4.4318970208e-03  2.4478492802e-04
-34.000	0.000	-741.500	1.7427803910e-04  -4.4955343241e-03  2.4981106549e-04
-32.000	0.000	-741.500	1.5684334842e-04  -4.5577769440e-03  2.5494087283e-04
-30.000	0.000	-741.500	1.4062780180e-04  -4.6166266392e-03  2.5816944880e-04
-28.000	0.000	-741.500	1.2381105895e-04  -4.6725495421e-03  2.6222923498e-04
-26.000	0.000	-741.500	1.0601341699e-04  -4.7253413716e-03  2.6484504796e-04
-24.000	0.000	-741.500	8.9487035167e-05  -4.7748535595e-03  2.6797921030e-04
-22.000	0.000	-741.500	7.2392960310e-05  -4.8214092415e-03  2.7043026224e-04
-20.000	0.000	-741.500	5.6810251828e-05  -4.8650232745e-03  2.7218894754e-04
-18.000	0.000	-741.500	4.0948350049e-05  -4.9045813974e-03  2.7389209542e-04
-16.000	0.000	-741.500	2.5028748323e-05  -4.9422192772e-03  2.7399021154e-04
-14.000	0.000	-741.500	9.0346950518e-06  -4.9752162599e-03  2.7544899472e-04
-12.000	0.000	-741.500	-5.1278501994e-06  -5.0052957358e-03  2.7485659546e-04
-10.000	0.000	-741.500	-2.0168923688e-05  -5.0310147370e-03  2.7568225193e-04
-8.000	0.000	-741.500	-3.4969890942e-05  -5.0541115106e-03  2.7549157342e-04
-6.000	0.000	-741.500	-4.8866271918e-05  -5.0730483764e-03  2.7473441311e-04
-4.000	0.000	-741.500	-6.2574662742e-05  -5.0892311605e-03  2.7482697550e-04
-2.000	0.000	-741.500	-7.6324001915e-05  -5.1009160443e-03  2.7277209056e-04
0.000	0.000	-741.500	-8.9347438519e-05  -5.1093584285e-03  2.7123370374e-04
2.000	0.000	-741.500	-1.0136205668e-04  -5.1129110640e-03  2.6946576219e-04
4.000	0.000	-741.500	-1.1370984551e-04  -5.1139083276e-03  2.6646859219e-04
6.000	0.000	-741.500	-1.2605577305e-04  -5.1110966757e-03  2.6390461414e-04
8.000	0.000	-741.500	-1.3776513988e-04  -5.1038149800e-03  2.6154427334e-04
10.000	0.000	-741.500	-1.4908549738e-04  -5.0944161884e-03  2.5816759755e-04
12.000	0.000	-741.500	-1.6060129018e-04  -5.0809800577e-03  2.5526854368e-04
14.000	0.000	-741.500	-1.7066713914e-04  -5.0638334379e-03  2.5194740532e-04
16.000	0.000	-741.500	-1.8052266248e-04  -5.0434536040e-03  2.4860960574e-04
18.000	0.000	-741.500	-1.9060526304e-04  -5.0196659886e-03  2.4441838098e-04
20.000	0.000	-741.500	-2.0009783509e-04  -4.9923053095e-03  2.4000315524e-04
22.000	0.000	-741.500	-2.0911763984e-04  -4.9617151307e-03  2.3570085562e-04
24.000	0.000	-741.500	-2.1973256894e-04  -4.9283170140e-03  2.3179287175e-04
26.000	0.000	-741.500	-2.2765979725e-04  -4.8931379369e-03  2.2716845502e-04
28.000	0.000	-741.500	-2.3624033788e-04  -4.8535389577e-03  2.2254033580e-04
30.000	0.000	-741.500	-2.4496047515e-04  -4.8118117401e-03  2.1862864944e-04
32.000	0.000	-741.500	-2.5425761190e-04  -4.7677408601e-03  2.1373209930e-04
34.000	0.000	-741.500	-2.6337420365e-04  -4.7206930461e-03  2.0838384473e-04
36.000	0.000	-741.500	-2.7203477969e-04  -4.6716878469e-03  2.0350210458e-04
38.000	0.000	-741.500	-2.8067115897e-04  -4.6197837120e-03  1.9797242774e-04
40.000	0.000	-741.500	-2.8919027707e-04  -4.5660577604e-03  1.9330358107e-04
42.000	0.000	-741.500	-2.9808723676e-04  -4.5106362749e-03  1.8748881208e-04
44.000	0.000	-741.500	-3.0643325502e-04  -4.4530586944e-03  1.8223126865e-04
46.000	0.000	-741.500	-3.1694395196e-04  -4.3940437172e-03  1.7680711292e-04
48.000	0.000	-741.500	-3.2774687122e-04  -4.3339144790e-03  1.7091829403e-04
50.000	0.000	-741.500	-3.3641116983e-04  -4.2717572857e-03  1.6560706441e-04
-50.000	0.000	-739.500	3.1619571393e-04  -4.1768296762e-03  2.0322626868e-04
-48.000	0.000	-739.500	3.0123839843e-04  -4.2618700763e-03  2.1150875083e-04
-46.000	0.000	-739.500	2.8419457836e-04  -4.3456160766e-03  2.1823248243e-04
-44.000	0.000	-739.500	2.6775753840e-04  -4.4262347177e-03  2.2533942231e-04
-42.000	0.000	-739.500	2.5004551571e-04  -4.5046694072e-03  2.3177621052e-04
-40.000	0.000	-739.500	2.3314873745e-04  -4.5806712935e-03  2.3821484998e-04
-38.000	0.000	-739.500	2.1523383430e-04  -4.6546247967e-03  2.4420733874e-04
-36.000	0.000	-739.500	1.9825143676e-04  -4.7258335035e-03  2.5124207995e-04
-34.000	0.000	-739.500	1.8109593938e-04  -4.7947654037e-03  2.5622193623e-04
-32.000	0.000	-739.500	1.6280691722e-04  -4.8615504944e-03  2.6129435490e-04
-30.000	0.000	-739.500	1.4588966478e-04  -4.9247550930e-03  2.6447109593e-04
-28.000	0.000	-739.500	1.2852011921e-04  -4.9851331829e-03  2.6862714699e-04
-26.000	0.000	-739.500	1.1005427462e-04  -5.0418342114e-03  2.7113188511e-04
-24.000	0.000	-739.500	9.2708925801e-05  -5.0956548752e-03  2.7445857721e-04
-22.000	0.000	-739.500	7.5596238057e-05  -5.1453286310e-03  2.7676893432e-04
-20.000	0.000	-739.500	5.8976791803e-05  -5.1923040180e-03  2.7815737009e-04
-18.000	0.000	-739.500	4.2437380960e-05  -5.2348836453e-03  2.7991420414e-04
-16.000	0.000	-739.500	2.6054318363e-05  -5.2751214675e-03  2.8041404102e-04
-14.000	0.000	-739.500	9.4274269546e-06  -5.3105605388e-03  2.8134706985e-04
-12.000	0.000	-739.500	-4.9026342741e-06  -5.3430338188e-03  2.8077133182e-04
-10.000	0.000	-739.500	-2.0799900537e-05  -5.3704539252e-03  2.8128412743e-04
-8.000	0.000	-739.500	-3.5654845161e-05  -5.3948878120e-03  2.8089536542e-04
-6.000	0.000	-739.500	-5.0111474017e-05  -5.4153419299e-03  2.8014005636e-04
-4.000	0.000	-739.500	-6.4205151589e-05  -5.4321765566e-03  2.7988273293e-04
-2.000	0.000	-739.500	-7.7813032826e-05  -5.4445894243e-03  2.7763902074e-04
0.000	0.000	-739.500	-9.1465584990e-05  -5.4530596650e-03  2.7578592180e-04
2.000	0.000	-739.500	-1.0399391882e-04  -5.4567831539e-03  2.7409758391e-04
4.000	0.000	-739.500	-1.1612579816e-04  -5.4572158586e-03  2.7083013174e-04
6.000	0.000	-739.500	-1.2875278029e-04  -5.4538377906e-03  2.6789775540e-04
8.000	0.000	-739.500	-1.4032255047e-04  -5.4455904021e-03  2.6517827255e-04
10.000	0.000	-739.500	-1.5240975888e-04  -5.4346279308e-03  2.6162943073e-04
12.000	0.000	-739.500	-1.6384365499e-04  -5.4198379731e-03  2.5856561581e-04
14.000	0.000	-739.500	-1.7421289400e-04  -5.4005352582e-03  2.5511118762e-04
16.000	0.000	-739.500	-1.8423965589e-04  -5.3785174607e-03  2.5158270953e-04
18.000	0.000	-739.500	-1.9400025351e-04  -5.3518903367e-03  2.4719895500e-04
20.000	0.000	-739.500	-2.0362683835e-04  -5.3219984281e-03  2.4278187802e-04
22.000	0.000	-739.500	-2.1296492345e-04  -5.2883143178e-03  2.3837220603e-04
24.000	0.000	-739.500	-2.2335091406e-04  -5.2521899759e-03  2.3394957530e-04
26.000	0.000	-739.500	-2.3130420041e-04  -5.2131648412e-03  2.2973798681e-04
28.000	0.000	-739.500	-2.3988474103e-04  -5.1700726538e-03  2.2445637716e-04
30.000	0.000	-739.500	-2.4861790733e-04  -5.1239366767e-03  2.2041325221e-04
32.000	0.000	-739.500	-2.5847156938e-04  -5.0761998780e-03  2.1551855332e-04
34.000	0.000	-739.500	-2.6727546464e-04  -5.0246040220e-03  2.1010180259e-04
36.000	0.000	-739.500	-2.7620778882e-04  -4.9712142058e-03  2.0505159890e-04
38.000	0.000	-739.500	-2.8506193887e-04  -4.9145038917e-03  1.9950155833e-04
40.000	0.000	-739.500	-2.9353266346e-04  -4.8560794728e-03  1.9473274428e-04
42.000	0.000	-739.500	-3.0249104568e-04  -4.7961229451e-03  1.8910495131e-04
44.000	0.000	-739.500	-3.1102505409e-04  -4.7334773340e-03  1.8363451439e-04
46.000	0.000	-739.500	-3.2156180907e-04  -4.6689727643e-03  1.7803819263e-04
48.000	0.000	-739.500	-3.3277793441e-04  -4.6035730715e-03  1.7232153977e-04
50.000	0.000	-739.500	-3.4193733580e-04  -4.5360488543e-03  1.6698994643e-04
-50.000	0.000	-737.500	3.2866262523e-04  -4.4494113467e-03  2.0852639081e-04
-48.000	0.000	-737.500	3.1330885525e-04  -4.5410054587e-03  2.1701251021e-04
-46.000	0.000	-737.500	2.9569548086e-04  -4.6313627410e-03  2.2368810937e-04
-44.000	0.000	-737.500	2.7805232586e-04  -4.7180763898e-03  2.3122453871e-04
-42.000	0.000	-737.500	2.6010019694e-04  -4.8028270821e-03  2.3773352558e-04
-40.000	0.000	-737.500	2.4223368730e-04  -4.8848459779e-03  2.4411477636e-04
-38.000	0.000	-737.500	2.2372875565e-04  -4.9645137829e-03  2.5030905112e-04
-36.000	0.000	-737.500	2.0564447524e-04  -5.0413699360e-03  2.5682544298e-04
-34.000	0.000	-737.500	1.8760858833e-04  -5.1160049954e-03  2.6197561405e-04
-32.000	0.000	-737.500	1.6868672803e-04  -5.1877596902e-03  2.6718687629e-04
-30.000	0.000	-737.500	1.5120178256e-04  -5.2558763227e-03  2.7029326991e-04
-28.000	0.000	-737.500	1.3342275348e-04  -5.3209120236e-03  2.7428455992e-04
-26.000	0.000	-737.500	1.1368751005e-04  -5.3820255257e-03  2.7671339689e-04
-24.000	0.000	-737.500	9.5956874475e-05  -5.4400469536e-03  2.8001417152e-04
-22.000	0.000	-737.500	7.8551964415e-05  -5.4936967640e-03  2.8240228104e-04
-20.000	0.000	-737.500	6.1301541313e-05  -5.5438997938e-03  2.8366112946e-04
-18.000	0.000	-737.500	4.4287501867e-05  -5.5900134856e-03  2.8512731763e-04
-16.000	0.000	-737.500	2.7133865774e-05  -5.6331929568e-03  2.8554199711e-04
-14.000	0.000	-737.500	9.8034072596e-06  -5.6710964021e-03  2.8629915742e-04
-12.000	0.000	-737.500	-4.4838443304e-06  -5.7060637697e-03  2.8540130229e-04
-10.000	0.000	-737.500	-2.1402958055e-05  -5.7352332658e-03  2.8638986856e-04
-8.000	0.000	-737.500	-3.6125751187e-05  -5.7614016855e-03  2.8543832724e-04
-6.000	0.000	-737.500	-5.1423682508e-05  -5.7832913431e-03  2.8458675331e-04
-4.000	0.000	-737.500	-6.5640205129e-05  -5.8010526635e-03  2.8367779069e-04
-2.000	0.000	-737.500	-7.9655708578e-05  -5.8141990863e-03  2.8169880691e-04
0.000	0.000	-737.500	-9.3611650790e-05  -5.8226488990e-03  2.7949952466e-04
2.000	0.000	-737.500	-1.0624421678e-04  -5.8264243867e-03  2.7750387965e-04
4.000	0.000	-737.500	-1.1858269917e-04  -5.8262869612e-03  2.7392726912e-04
6.000	0.000	-737.500	-1.3153912938e-04  -5.8224223326e-03  2.7103376899e-04
8.000	0.000	-737.500	-1.4309773183e-04  -5.8128861155e-03  2.6769411816e-04
10.000	0.000	-737.500	-1.5515143705e-04  -5.8001092559e-03  2.6421377250e-04
12.000	0.000	-737.500	-1.6678635233e-04  -5.7839710423e-03  2.6076304681e-04
14.000	0.000	-737.500	-1.7759299416e-04  -5.7622039535e-03  2.5723456872e-04
16.000	0.000	-737.500	-1.8732381117e-04  -5.7381656293e-03  2.5327845241e-04
18.000	0.000	-737.500	-1.9711791198e-04  -5.7085819995e-03  2.4892802034e-04
20.000	0.000	-737.500	-2.0710558682e-04  -5.6757818696e-03  2.4419067751e-04
22.000	0.000	-737.500	-2.1622962372e-04  -5.6390669694e-03  2.3976249304e-04
24.000	0.000	-737.500	-2.2642204031e-04  -5.5998096970e-03  2.3515658879e-04
26.000	0.000	-737.500	-2.3443302661e-04  -5.5564798005e-03  2.3058956075e-04
28.000	0.000	-737.500	-2.4328531538e-04  -5.5093985587e-03  2.2532276108e-04
30.000	0.000	-737.500	-2.5197381074e-04  -5.4588055376e-03  2.2095196529e-04
32.000	0.000	-737.500	-2.6205641130e-04  -5.4069348306e-03  2.1614242379e-04
34.000	0.000	-737.500	-2.7060158744e-04  -5.3506145079e-03  2.1050167209e-04
36.000	0.000	-737.500	-2.7996759187e-04  -5.2920619490e-03  2.0557365074e-04
38.000	0.000	-737.500	-2.8888130316e-04  -5.2305064567e-03  1.9966817062e-04
40.000	0.000	-737.500	-2.9729246651e-04  -5.1667930122e-03  1.9464018190e-04
42.000	0.000	-737.500	-3.0650584527e-04  -5.1014248901e-03  1.8941225843e-04
44.000	0.000	-737.500	-3.1546236620e-04  -5.0331708320e-03  1.8394182151e-04
46.000	0.000	-737.500	-3.2565664408e-04  -4.9632360969e-03  1.7827885483e-04
48.000	0.000	-737.500	-3.3715940786e-04  -4.8918713935e-03  1.7266216935e-04
50.000	0.000	-737.500	-3.4711730208e-04  -4.8184025939e-03  1.6709917005e-04
-50.000	0.000	-735.500	3.4190197132e-04  -4.7412771611e-03  2.1345811465e-04
-48.000	0.000	-735.500	3.2536256047e-04  -4.8401213981e-03  2.2204790392e-04
-46.000	0.000	-735.500	3.0744207346e-04  -4.9373982412e-03  2.2878459425e-04
-44.000	0.000	-735.500	2.8857046795e-04  -5.0309478813e-03  2.3647467715e-04
-42.000	0.000	-735.500	2.7017535234e-04  -5.1222337145e-03  2.4302068897e-04
-40.000	0.000	-735.500	2.5122371142e-04  -5.2112278841e-03  2.4946488217e-04
-38.000	0.000	-735.500	2.3223298344e-04  -5.2972339772e-03  2.5552401586e-04
-36.000	0.000	-735.500	2.1318641680e-04  -5.3797468620e-03  2.6241621100e-04
-34.000	0.000	-735.500	1.9440601444e-04  -5.4603822170e-03  2.6734978609e-04
-32.000	0.000	-735.500	1.7483084182e-04  -5.5379644968e-03  2.7218894754e-04
-30.000	0.000	-735.500	1.5658649059e-04  -5.6116060068e-03  2.7590995539e-04
-28.000	0.000	-735.500	1.3787867848e-04  -5.6812603196e-03  2.7920332503e-04
-26.000	0.000	-735.500	1.1776745474e-04  -5.7476962751e-03  2.8214866010e-04
-24.000	0.000	-735.500	9.9353726241e-05  -5.8098163264e-03  2.8495515160e-04
-22.000	0.000	-735.500	8.1401597321e-05  -5.8681776038e-03  2.8722478126e-04
-20.000	0.000	-735.500	6.3626290822e-05  -5.9221078366e-03  2.8849288593e-04
-18.000	0.000	-735.500	4.5886348808e-05  -5.9718150202e-03  2.8963140326e-04
-16.000	0.000	-735.500	2.7805790972e-05  -6.0184171298e-03  2.9009976892e-04
-14.000	0.000	-735.500	1.0585148488e-05  -6.0590096583e-03  2.9010902516e-04
-12.000	0.000	-735.500	-4.3442476825e-06  -6.0964971129e-03  2.8950736966e-04
-10.000	0.000	-735.500	-2.1617006249e-05  -6.1276184229e-03  2.9024601749e-04
-8.000	0.000	-735.500	-3.6857237622e-05  -6.1559782226e-03  2.8918340132e-04
-6.000	0.000	-735.500	-5.2365494559e-05  -6.1790601394e-03  2.8808931393e-04
-4.000	0.000	-735.500	-6.6915187847e-05  -6.1978131522e-03  2.8686193672e-04
-2.000	0.000	-735.500	-8.1427655362e-05  -6.2118732690e-03  2.8431647115e-04
0.000	0.000	-735.500	-9.5592061902e-05  -6.2203936515e-03  2.8219123880e-04
2.000	0.000	-735.500	-1.0807014094e-04  -6.2238590033e-03  2.7959764079e-04
4.000	0.000	-735.500	-1.2103215501e-04  -6.2232925873e-03  2.7591180664e-04
6.000	0.000	-735.500	-1.3431803332e-04  -6.2185588351e-03  2.7334782859e-04
8.000	0.000	-735.500	-1.4580404551e-04  -6.2079436419e-03  2.6923805873e-04
10.000	0.000	-735.500	-1.5807552150e-04  -6.1933041093e-03  2.6576882056e-04
12.000	0.000	-735.500	-1.6948708214e-04  -6.1754146488e-03  2.6211260638e-04
14.000	0.000	-735.500	-1.8038120455e-04  -6.1512983264e-03  2.5811020888e-04
16.000	0.000	-735.500	-1.9021625371e-04  -6.1241177862e-03  2.5386714918e-04
18.000	0.000	-735.500	-1.9992845783e-04  -6.0920660683e-03  2.4949450214e-04
20.000	0.000	-735.500	-2.1016368405e-04  -6.0560494383e-03  2.4441097599e-04
22.000	0.000	-735.500	-2.1913323400e-04  -6.0157763312e-03  2.3977545178e-04
24.000	0.000	-735.500	-2.2941499244e-04  -5.9724631487e-03  2.3505662142e-04
26.000	0.000	-735.500	-2.3738875297e-04  -5.9248990604e-03  2.3008972387e-04
28.000	0.000	-735.500	-2.4638063838e-04  -5.8734332016e-03  2.2512097508e-04
30.000	0.000	-735.500	-2.5495373385e-04  -5.8182475680e-03  2.2051321958e-04
32.000	0.000	-735.500	-2.6484462168e-04  -5.7614462560e-03  2.1555372703e-04
34.000	0.000	-735.500	-2.7370993946e-04  -5.6998944779e-03  2.0975561927e-04
36.000	0.000	-735.500	-2.8311503095e-04  -5.6358894684e-03  2.0482019293e-04
38.000	0.000	-735.500	-2.9198779389e-04  -5.5690375221e-03  1.9897395274e-04
40.000	0.000	-735.500	-3.0074887952e-04  -5.4995299204e-03  1.9350351582e-04
42.000	0.000	-735.500	-3.0977054555e-04  -5.4280259344e-03  1.8833668352e-04
44.000	0.000	-735.500	-3.1928731436e-04  -5.3539015779e-03  1.8313282627e-04
46.000	0.000	-735.500	-3.2945181161e-04  -5.2779126913e-03  1.7759944693e-04
