fieldmap_name:		BD-030
timestamp:		2017-03-31_10-40-33
filename:		2017-03-31_BD-030_Model09_Hall_I=991.63A.dat
nr_magnets:		1

magnet_name:		BD-030
gap[mm]:		28
control_gap[mm]:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:		11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:		0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	1.3168989376e-04  -4.6351939418e-03  -1.0895703392e-04
-48.000	0.000	-741.500	1.2206889279e-04  -4.7229568530e-03  -1.0968087176e-04
-46.000	0.000	-741.500	1.1310120413e-04  -4.8090632296e-03  -1.0997892264e-04
-44.000	0.000	-741.500	1.0367936104e-04  -4.8927720878e-03  -1.1081013285e-04
-42.000	0.000	-741.500	9.4560907996e-05  -4.9746424155e-03  -1.1184498031e-04
-40.000	0.000	-741.500	8.4904542539e-05  -5.0540725115e-03  -1.1362402934e-04
-38.000	0.000	-741.500	7.4699096933e-05  -5.1312388005e-03  -1.1425715605e-04
-36.000	0.000	-741.500	6.6904020115e-05  -5.2058292895e-03  -1.1580294786e-04
-34.000	0.000	-741.500	5.8604534075e-05  -5.2777771229e-03  -1.1770047674e-04
-32.000	0.000	-741.500	4.9605203508e-05  -5.3475447188e-03  -1.1999232138e-04
-30.000	0.000	-741.500	4.0855285618e-05  -5.4130242670e-03  -1.2260998561e-04
-28.000	0.000	-741.500	3.2589302773e-05  -5.4755417380e-03  -1.2429276976e-04
-26.000	0.000	-741.500	2.5138564353e-05  -5.5345010022e-03  -1.2693450021e-04
-24.000	0.000	-741.500	1.7836729024e-05  -5.5910738907e-03  -1.2951328824e-04
-22.000	0.000	-741.500	9.7810717959e-06  -5.6439065764e-03  -1.3252341698e-04
-20.000	0.000	-741.500	3.3987130541e-06  -5.6916786600e-03  -1.3611668874e-04
-18.000	0.000	-741.500	-3.5680903202e-06  -5.7369417993e-03  -1.3946189332e-04
-16.000	0.000	-741.500	-1.0017455453e-05  -5.7782827398e-03  -1.4264603934e-04
-14.000	0.000	-741.500	-1.4921951016e-05  -5.8164647504e-03  -1.4628188980e-04
-12.000	0.000	-741.500	-2.0892964968e-05  -5.8491813107e-03  -1.4922537362e-04
-10.000	0.000	-741.500	-2.5430786669e-05  -5.8790509341e-03  -1.5366466558e-04
-8.000	0.000	-741.500	-3.0761517330e-05  -5.9038190993e-03  -1.5800028766e-04
-6.000	0.000	-741.500	-3.5159742383e-05  -5.9250884848e-03  -1.6172314676e-04
-4.000	0.000	-741.500	-3.9665922177e-05  -5.9423131029e-03  -1.6573480050e-04
-2.000	0.000	-741.500	-4.3293573734e-05  -5.9537937055e-03  -1.6933547725e-04
0.000	0.000	-741.500	-4.6325612926e-05  -5.9634153493e-03  -1.7300279892e-04
2.000	0.000	-741.500	-4.9746661444e-05  -5.9671574092e-03  -1.7741061967e-04
4.000	0.000	-741.500	-5.2408304197e-05  -5.9674136892e-03  -1.8110015631e-04
6.000	0.000	-741.500	-5.5280272567e-05  -5.9635862027e-03  -1.8550427456e-04
8.000	0.000	-741.500	-5.7884215372e-05  -5.9548113972e-03  -1.8951407705e-04
10.000	0.000	-741.500	-5.9345326954e-05  -5.9431617984e-03  -1.9333320103e-04
12.000	0.000	-741.500	-6.1173112397e-05  -5.9268880164e-03  -1.9739483846e-04
14.000	0.000	-741.500	-6.3071626808e-05  -5.9074887322e-03  -2.0009580883e-04
16.000	0.000	-741.500	-6.4679780192e-05  -5.8839165406e-03  -2.0367241937e-04
18.000	0.000	-741.500	-6.6991500681e-05  -5.8564797203e-03  -2.0681583794e-04
20.000	0.000	-741.500	-6.9574969311e-05  -5.8242348638e-03  -2.0946312214e-04
22.000	0.000	-741.500	-7.1410199909e-05  -5.7890743577e-03  -2.1210855508e-04
24.000	0.000	-741.500	-7.2387376444e-05  -5.7502535042e-03  -2.1524827116e-04
26.000	0.000	-741.500	-7.4503661626e-05  -5.7089014210e-03  -2.1882673294e-04
28.000	0.000	-741.500	-7.7206252730e-05  -5.6630830083e-03  -2.2104267642e-04
30.000	0.000	-741.500	-8.0415114343e-05  -5.6138902419e-03  -2.2401578021e-04
32.000	0.000	-741.500	-8.2710083234e-05  -5.5622832433e-03  -2.2527277739e-04
34.000	0.000	-741.500	-8.5315887328e-05  -5.5079128774e-03  -2.2737209227e-04
36.000	0.000	-741.500	-8.8608506930e-05  -5.4514941283e-03  -2.2858651075e-04
38.000	0.000	-741.500	-9.2085394107e-05  -5.3924085812e-03  -2.3054698205e-04
40.000	0.000	-741.500	-9.5428268502e-05  -5.3299263952e-03  -2.3144298593e-04
42.000	0.000	-741.500	-1.0058031545e-04  -5.2650114059e-03  -2.3192616158e-04
44.000	0.000	-741.500	-1.0572305596e-04  -5.1986144495e-03  -2.3300173649e-04
46.000	0.000	-741.500	-1.1118035425e-04  -5.1294745539e-03  -2.3385516167e-04
48.000	0.000	-741.500	-1.1817879953e-04  -5.0585685546e-03  -2.3446422216e-04
50.000	0.000	-741.500	-1.2511396100e-04  -4.9861620172e-03  -2.3549166463e-04
-50.000	0.000	-739.500	1.3354745982e-04  -4.9228589922e-03  -1.1638794213e-04
-48.000	0.000	-739.500	1.2384270086e-04  -5.0170121903e-03  -1.1723766482e-04
-46.000	0.000	-739.500	1.1396111948e-04  -5.1094048560e-03  -1.1779674162e-04
-44.000	0.000	-739.500	1.0431592175e-04  -5.1996377125e-03  -1.1909631750e-04
-42.000	0.000	-739.500	9.5089513969e-05  -5.2874136235e-03  -1.2068468802e-04
-40.000	0.000	-739.500	8.5081364960e-05  -5.3732470061e-03  -1.2266922554e-04
-38.000	0.000	-739.500	7.4648842140e-05  -5.4560793124e-03  -1.2373554421e-04
-36.000	0.000	-739.500	6.6591323624e-05  -5.5364565302e-03  -1.2553680821e-04
-34.000	0.000	-739.500	5.8036841041e-05  -5.6136952462e-03  -1.2781014037e-04
-32.000	0.000	-739.500	4.8834630011e-05  -5.6886051568e-03  -1.3069253302e-04
-30.000	0.000	-739.500	3.9731067280e-05  -5.7593421598e-03  -1.3360269438e-04
-28.000	0.000	-739.500	3.1645629434e-05  -5.8262851041e-03  -1.3548541328e-04
-26.000	0.000	-739.500	2.3936171893e-05  -5.8895008453e-03  -1.3889911402e-04
-24.000	0.000	-739.500	1.6498462493e-05  -5.9504843503e-03  -1.4146124082e-04
-22.000	0.000	-739.500	8.7368888697e-06  -6.0071482368e-03  -1.4509709128e-04
-20.000	0.000	-739.500	1.8315080204e-06  -6.0587830919e-03  -1.4896434770e-04
-18.000	0.000	-739.500	-5.0143115924e-06  -6.1074261563e-03  -1.5281679414e-04
-16.000	0.000	-739.500	-1.1000215854e-05  -6.1517533163e-03  -1.5634156973e-04
-14.000	0.000	-739.500	-1.6258356258e-05  -6.1922845605e-03  -1.6065312560e-04
-12.000	0.000	-739.500	-2.1953899492e-05  -6.2277292032e-03  -1.6394649523e-04
-10.000	0.000	-739.500	-2.6344679391e-05  -6.2591810772e-03  -1.6856350697e-04
-8.000	0.000	-739.500	-3.1641906856e-05  -6.2860514815e-03  -1.7339896593e-04
-6.000	0.000	-739.500	-3.6071773816e-05  -6.3085279831e-03  -1.7731065229e-04
-4.000	0.000	-739.500	-3.9958144494e-05  -6.3266365816e-03  -1.8177030797e-04
-2.000	0.000	-739.500	-4.3315909198e-05  -6.3390253069e-03  -1.8560053944e-04
0.000	0.000	-739.500	-4.6288387154e-05  -6.3489979430e-03  -1.8967698685e-04
2.000	0.000	-739.500	-4.9608926085e-05  -6.3527047179e-03  -1.9475866175e-04
4.000	0.000	-739.500	-5.1704737092e-05  -6.3523982961e-03  -1.9845745463e-04
6.000	0.000	-739.500	-5.4515282936e-05  -6.3478093979e-03  -2.0302448268e-04
8.000	0.000	-739.500	-5.6372848998e-05  -6.3380744709e-03  -2.0728790610e-04
10.000	0.000	-739.500	-5.7720421972e-05  -6.3250933301e-03  -2.1154392454e-04
12.000	0.000	-739.500	-5.9066133658e-05  -6.3068491632e-03  -2.1587584413e-04
