# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0901999999999994e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.0901994834093802e+00 +0.0000000000000000e+00 -9.9999999998220887e-02 +1.0331820287928946e-05 +0.0000000000000000e+00 +9.9999999994662669e-01
-2.0000000000000001e-01 +9.0901979336343484e+00 +0.0000000000000000e+00 -1.9999999998576709e-01 +2.0663688330265557e-05 +0.0000000000000000e+00 +9.9999999978650589e-01
-3.0000000000000004e-01 +9.0901953506701059e+00 +0.0000000000000000e+00 -2.9999999995196375e-01 +3.0995604573559337e-05 +0.0000000000000000e+00 +9.9999999951963614e-01
-4.0000000000000002e-01 +9.0901917345118122e+00 +0.0000000000000000e+00 -3.9999999988613594e-01 +4.1327569452373472e-05 +0.0000000000000000e+00 +9.9999999914601589e-01
-5.0000000000000000e-01 +9.0901870851545805e+00 +0.0000000000000000e+00 -4.9999999977760851e-01 +5.1659583389282928e-05 +0.0000000000000000e+00 +9.9999999866564360e-01
-5.9999999999999998e-01 +9.0901814025934851e+00 +0.0000000000000000e+00 -5.9999999961570616e-01 +6.1991646794871890e-05 +0.0000000000000000e+00 +9.9999999807851769e-01
-6.9999999999999996e-01 +9.0901746868235591e+00 +0.0000000000000000e+00 -6.9999999938975355e-01 +7.2323760067730344e-05 +0.0000000000000000e+00 +9.9999999738463674e-01
-7.9999999999999993e-01 +9.0901669378397969e+00 +0.0000000000000000e+00 -7.9999999908907493e-01 +8.2655923594450079e-05 +0.0000000000000000e+00 +9.9999999658399907e-01
-8.9999999999999991e-01 +9.0901581556371536e+00 +0.0000000000000000e+00 -8.9999999870299474e-01 +9.2988137749619909e-05 +0.0000000000000000e+00 +9.9999999567660303e-01
-9.9999999999999989e-01 +9.0901483402105470e+00 +0.0000000000000000e+00 -9.9999999822083696e-01 +1.0332040289582015e-04 +0.0000000000000000e+00 +9.9999999466244704e-01
-1.0999999999999999e+00 +9.0901374915548629e+00 +0.0000000000000000e+00 -1.0999999976319255e+00 +1.1365271938361635e-04 +0.0000000000000000e+00 +9.9999999354152957e-01
-1.2000000000000000e+00 +9.0901256096649483e+00 +0.0000000000000000e+00 -1.1999999969255841e+00 +1.2398508755155242e-04 +0.0000000000000000e+00 +9.9999999231384895e-01
-1.3000000000000000e+00 +9.0901126945356197e+00 +0.0000000000000000e+00 -1.2999999960911364e+00 +1.3431750772614293e-04 +0.0000000000000000e+00 +9.9999999097940351e-01
-1.4000000000000001e+00 +9.0900987461616598e+00 +0.0000000000000000e+00 -1.3999999951179058e+00 +1.4464998022186470e-04 +0.0000000000000000e+00 +9.9999998953819158e-01
-1.5000000000000002e+00 +9.0900837645378214e+00 +0.0000000000000000e+00 -1.4999999939952158e+00 +1.5498250534114771e-04 +0.0000000000000000e+00 +9.9999998799021150e-01
-1.6000000000000003e+00 +9.0900677496588269e+00 +0.0000000000000000e+00 -1.5999999927123891e+00 +1.6531508337582442e-04 +0.0000000000000000e+00 +9.9999998633546161e-01
-1.7000000000000004e+00 +9.0900507015193721e+00 +0.0000000000000000e+00 -1.6999999912587489e+00 +1.7564771462317167e-04 +0.0000000000000000e+00 +9.9999998457394013e-01
-1.8000000000000005e+00 +9.0900326201141191e+00 +0.0000000000000000e+00 -1.7999999896236178e+00 +1.8598039940195718e-04 +0.0000000000000000e+00 +9.9999998270564550e-01
-1.9000000000000006e+00 +9.0900135054376960e+00 +0.0000000000000000e+00 -1.8999999877963187e+00 +1.9631313805389694e-04 +0.0000000000000000e+00 +9.9999998073057583e-01
-2.0000000000000004e+00 +9.0899933574846994e+00 +0.0000000000000000e+00 -1.9999999857661739e+00 +2.0664593094365442e-04 +0.0000000000000000e+00 +9.9999997864872947e-01
-2.1000000000000005e+00 +9.0899721762496863e+00 +0.0000000000000000e+00 -2.0999999835225056e+00 +2.1697877845884022e-04 +0.0000000000000000e+00 +9.9999997646010463e-01
-2.2000000000000006e+00 +9.0899499617271733e+00 +0.0000000000000000e+00 -2.1999999810546358e+00 +2.2731168101001255e-04 +0.0000000000000000e+00 +9.9999997416469955e-01
-2.3000000000000007e+00 +9.0899267139116358e+00 +0.0000000000000000e+00 -2.2999999783518863e+00 +2.3764463903067833e-04 +0.0000000000000000e+00 +9.9999997176251243e-01
-2.4000000000000008e+00 +9.0899024327975031e+00 +0.0000000000000000e+00 -2.3999999754035790e+00 +2.4797765297729493e-04 +0.0000000000000000e+00 +9.9999996925354140e-01
-2.5000000000000009e+00 +9.0898771183791602e+00 +0.0000000000000000e+00 -2.4999999721990354e+00 +2.5831072332927260e-04 +0.0000000000000000e+00 +9.9999996663778457e-01
-2.6000000000000010e+00 +9.0898507706509406e+00 +0.0000000000000000e+00 -2.5999999687275763e+00 +2.6864385058897756e-04 +0.0000000000000000e+00 +9.9999996391524015e-01
-2.7000000000000011e+00 +9.0898233896071279e+00 +0.0000000000000000e+00 -2.6999999649785233e+00 +2.7897703528173589e-04 +0.0000000000000000e+00 +9.9999996108590616e-01
-2.8000000000000012e+00 +9.0897949752419507e+00 +0.0000000000000000e+00 -2.7999999609411974e+00 +2.8931027795583780e-04 +0.0000000000000000e+00 +9.9999995814978071e-01
-2.9000000000000012e+00 +9.0897655275495843e+00 +0.0000000000000000e+00 -2.8999999566049195e+00 +2.9964357918254279e-04 +0.0000000000000000e+00 +9.9999995510686179e-01
-3.0000000000000013e+00 +9.0897350465241420e+00 +0.0000000000000000e+00 -2.9999999519590101e+00 +3.0997693955608550e-04 +0.0000000000000000e+00 +9.9999995195714741e-01
