# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px py pz
-0.00000000000000e+00 +9.10762011663550e+00 +0.00000000000000e+00 -0.00000000000000e+00 -0.00000000000000e+00 +0.00000000000000e+00 +1.00000000000000e+00
-1.00051046452272e-01 +9.10761960063226e+00 +0.00000000000000e+00 -1.00051046450497e-01 +1.03148156955239e-05 +0.00000000000000e+00 +9.99999999946802e-01
-2.00102092904543e-01 +9.10761805261899e+00 +0.00000000000000e+00 -2.00102092890350e-01 +2.06296313899503e-05 +0.00000000000000e+00 +9.99999999787209e-01
-3.00153139356815e-01 +9.10761547259923e+00 +0.00000000000000e+00 -3.00153139308912e-01 +3.09444470821818e-05 +0.00000000000000e+00 +9.99999999521221e-01
-4.00204185809086e-01 +9.10761186057122e+00 +0.00000000000000e+00 -4.00204185695540e-01 +4.12592627711209e-05 +0.00000000000000e+00 +9.99999999148837e-01
-5.00255232261358e-01 +9.10760721653318e+00 +0.00000000000000e+00 -5.00255232039588e-01 +5.15740784556703e-05 +0.00000000000000e+00 +9.99999998670057e-01
-6.00306278713630e-01 +9.10760154048866e+00 +0.00000000000000e+00 -6.00306278330411e-01 +6.18888941347324e-05 +0.00000000000000e+00 +9.99999998084882e-01
-7.00357325165901e-01 +9.10759483243765e+00 +0.00000000000000e+00 -7.00357324557363e-01 +7.22037098072098e-05 +0.00000000000000e+00 +9.99999997393312e-01
-8.00408371618173e-01 +9.10758709237662e+00 +0.00000000000000e+00 -8.00408370709802e-01 +8.25185254720051e-05 +0.00000000000000e+00 +9.99999996595346e-01
-9.00459418070444e-01 +9.10757832030732e+00 +0.00000000000000e+00 -9.00459416777080e-01 +9.28333411280208e-05 +0.00000000000000e+00 +9.99999995690985e-01
-1.00051046452272e+00 +9.10756851622977e+00 +0.00000000000000e+00 -1.00051046274855e+00 +1.03148156774159e-04 +0.00000000000000e+00 +9.99999994680229e-01
-1.10056151097499e+00 +9.10755768014574e+00 +0.00000000000000e+00 -1.10056150861358e+00 +1.13462972409324e-04 +0.00000000000000e+00 +9.99999993563077e-01
-1.20061255742726e+00 +9.10754581205168e+00 +0.00000000000000e+00 -1.20061255436151e+00 +1.23777788032416e-04 +0.00000000000000e+00 +9.99999992339530e-01
-1.30066360387953e+00 +9.10753291195114e+00 +0.00000000000000e+00 -1.30066359998170e+00 +1.34092603642339e-04 +0.00000000000000e+00 +9.99999991009587e-01
-1.40071465033180e+00 +9.10751897984056e+00 +0.00000000000000e+00 -1.40071464546350e+00 +1.44407419237995e-04 +0.00000000000000e+00 +9.99999989573249e-01
-1.50076569678407e+00 +9.10750401572350e+00 +0.00000000000000e+00 -1.50076569079628e+00 +1.54722234818286e-04 +0.00000000000000e+00 +9.99999988030515e-01
-1.60081674323635e+00 +9.10748801959819e+00 +0.00000000000000e+00 -1.60081673596938e+00 +1.65037050382116e-04 +0.00000000000000e+00 +9.99999986381386e-01
-1.70086778968862e+00 +9.10747099146462e+00 +0.00000000000000e+00 -1.70086778097216e+00 +1.75351865928387e-04 +0.00000000000000e+00 +9.99999984625861e-01
-1.80091883614089e+00 +9.10745293132280e+00 +0.00000000000000e+00 -1.80091882579397e+00 +1.85666681456001e-04 +0.00000000000000e+00 +9.99999982763942e-01
-1.90096988259316e+00 +9.10743383917271e+00 +0.00000000000000e+00 -1.90096987042418e+00 +1.95981496963861e-04 +0.00000000000000e+00 +9.99999980795626e-01
-2.00102092904543e+00 +9.10741371501615e+00 +0.00000000000000e+00 -2.00102091485213e+00 +2.06296312450870e-04 +0.00000000000000e+00 +9.99999978720916e-01
-2.10107197549770e+00 +9.10739255884955e+00 +0.00000000000000e+00 -2.10107195906719e+00 +2.16611127915929e-04 +0.00000000000000e+00 +9.99999976539809e-01
-2.20112302194997e+00 +9.10737037067470e+00 +0.00000000000000e+00 -2.20112300305870e+00 +2.26925943357942e-04 +0.00000000000000e+00 +9.99999974252308e-01
-2.30117406840225e+00 +9.10734715049337e+00 +0.00000000000000e+00 -2.30117404681602e+00 +2.37240758775812e-04 +0.00000000000000e+00 +9.99999971858411e-01
-2.40122511485452e+00 +9.10732289830378e+00 +0.00000000000000e+00 -2.40122509032850e+00 +2.47555574168439e-04 +0.00000000000000e+00 +9.99999969358118e-01
-2.50127616130679e+00 +9.10729761410415e+00 +0.00000000000000e+00 -2.50127613358550e+00 +2.57870389534728e-04 +0.00000000000000e+00 +9.99999966751431e-01
-2.60132720775906e+00 +9.10727129789805e+00 +0.00000000000000e+00 -2.60132717657639e+00 +2.68185204873581e-04 +0.00000000000000e+00 +9.99999964038347e-01
-2.70137825421133e+00 +9.10724394968369e+00 +0.00000000000000e+00 -2.70137821929050e+00 +2.78500020183901e-04 +0.00000000000000e+00 +9.99999961218869e-01
-2.80142930066360e+00 +9.10721556946107e+00 +0.00000000000000e+00 -2.80142926171720e+00 +2.88814835464589e-04 +0.00000000000000e+00 +9.99999958292994e-01
-2.90148034711588e+00 +9.10718615723020e+00 +0.00000000000000e+00 -2.90148030384583e+00 +2.99129650714548e-04 +0.00000000000000e+00 +9.99999955260725e-01
-3.00153139356815e+00 +9.10715571299107e+00 +0.00000000000000e+00 -3.00153134566577e+00 +3.09444465932682e-04 +0.00000000000000e+00 +9.99999952122060e-01
