# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px py pz
-3.10158244002042e+00 +9.10712423674546e+00 +0.00000000000000e+00 -3.10158238716635e+00 +3.19759281117892e-04 +0.00000000000000e+00 +9.99999948877000e-01
-3.20163348647269e+00 +9.10709172849159e+00 +0.00000000000000e+00 -3.20163342833694e+00 +3.30074096269081e-04 +0.00000000000000e+00 +9.99999945525544e-01
-3.30168453292496e+00 +9.10705818822770e+00 +0.00000000000000e+00 -3.30168446916689e+00 +3.40388911385151e-04 +0.00000000000000e+00 +9.99999942067693e-01
-3.40173557937723e+00 +9.10702361595732e+00 +0.00000000000000e+00 -3.40173550964556e+00 +3.50703726465006e-04 +0.00000000000000e+00 +9.99999938503446e-01
-3.50178662582951e+00 +9.10698801167868e+00 +0.00000000000000e+00 -3.50178654976230e+00 +3.61018541507548e-04 +0.00000000000000e+00 +9.99999934832804e-01
-3.60183767228178e+00 +9.10695137539179e+00 +0.00000000000000e+00 -3.60183758950647e+00 +3.71333356511679e-04 +0.00000000000000e+00 +9.99999931055767e-01
-3.70188871873405e+00 +9.10691370709664e+00 +0.00000000000000e+00 -3.70188862886741e+00 +3.81648171476301e-04 +0.00000000000000e+00 +9.99999927172334e-01
-3.80193976518632e+00 +9.10687500679501e+00 +0.00000000000000e+00 -3.80193966783449e+00 +3.91962986400319e-04 +0.00000000000000e+00 +9.99999923182506e-01
-3.90199081163859e+00 +9.10683527448334e+00 +0.00000000000000e+00 -3.90199070639706e+00 +4.02277801282633e-04 +0.00000000000000e+00 +9.99999919086282e-01
-4.00204185809086e+00 +9.10679451016342e+00 +0.00000000000000e+00 -4.00204174454448e+00 +4.12592616122146e-04 +0.00000000000000e+00 +9.99999914883663e-01
-4.10209290454313e+00 +9.10675271383702e+00 +0.00000000000000e+00 -4.10209278226610e+00 +4.22907430917762e-04 +0.00000000000000e+00 +9.99999910574648e-01
-4.20214395099541e+00 +9.10670988550237e+00 +0.00000000000000e+00 -4.20214381955128e+00 +4.33222245668382e-04 +0.00000000000000e+00 +9.99999906159239e-01
-4.30219499744768e+00 +9.10666602515945e+00 +0.00000000000000e+00 -4.30219485638936e+00 +4.43537060372909e-04 +0.00000000000000e+00 +9.99999901637433e-01
-4.40224604389995e+00 +9.10662113280651e+00 +0.00000000000000e+00 -4.40224589276972e+00 +4.53851875030246e-04 +0.00000000000000e+00 +9.99999897009232e-01
-4.50229709035222e+00 +9.10657520844886e+00 +0.00000000000000e+00 -4.50229692868169e+00 +4.64166689639295e-04 +0.00000000000000e+00 +9.99999892274636e-01
-4.60234813680449e+00 +9.10652825208117e+00 +0.00000000000000e+00 -4.60234796411464e+00 +4.74481504198959e-04 +0.00000000000000e+00 +9.99999887433645e-01
-4.70239918325676e+00 +9.10648026370701e+00 +0.00000000000000e+00 -4.70239899905792e+00 +4.84796318708140e-04 +0.00000000000000e+00 +9.99999882486258e-01
-4.80245022970904e+00 +9.10643124332459e+00 +0.00000000000000e+00 -4.80245003350089e+00 +4.95111133165742e-04 +0.00000000000000e+00 +9.99999877432475e-01
-4.90250127616131e+00 +9.10638119093214e+00 +0.00000000000000e+00 -4.90250106743290e+00 +5.05425947570665e-04 +0.00000000000000e+00 +9.99999872272298e-01
-5.00255232261358e+00 +9.10633010653321e+00 +0.00000000000000e+00 -5.00255210084330e+00 +5.15740761921814e-04 +0.00000000000000e+00 +9.99999867005724e-01
-5.10260336906585e+00 +9.10627799012602e+00 +0.00000000000000e+00 -5.10260313372146e+00 +5.26055576218090e-04 +0.00000000000000e+00 +9.99999861632756e-01
-5.20265441551812e+00 +9.10622484171235e+00 +0.00000000000000e+00 -5.20265416605672e+00 +5.36370390458396e-04 +0.00000000000000e+00 +9.99999856153392e-01
-5.30270546197039e+00 +9.10617066128864e+00 +0.00000000000000e+00 -5.30270519783845e+00 +5.46685204641635e-04 +0.00000000000000e+00 +9.99999850567632e-01
-5.40275650842267e+00 +9.10611544885846e+00 +0.00000000000000e+00 -5.40275622905599e+00 +5.57000018766709e-04 +0.00000000000000e+00 +9.99999844875478e-01
-5.50280755487494e+00 +9.10605920442002e+00 +0.00000000000000e+00 -5.50280725969870e+00 +5.67314832832521e-04 +0.00000000000000e+00 +9.99999839076927e-01
-5.60285860132721e+00 +9.10600192797332e+00 +0.00000000000000e+00 -5.60285828975594e+00 +5.77629646837973e-04 +0.00000000000000e+00 +9.99999833171982e-01
-5.70290964777948e+00 +9.10594361951837e+00 +0.00000000000000e+00 -5.70290931921706e+00 +5.87944460781968e-04 +0.00000000000000e+00 +9.99999827160641e-01
-5.80296069423175e+00 +9.10588427905516e+00 +0.00000000000000e+00 -5.80296034807142e+00 +5.98259274663409e-04 +0.00000000000000e+00 +9.99999821042904e-01
-5.90301174068402e+00 +9.10582390658547e+00 +0.00000000000000e+00 -5.90301137630837e+00 +6.08574088481197e-04 +0.00000000000000e+00 +9.99999814818772e-01
-6.00306278713630e+00 +9.10576250210752e+00 +0.00000000000000e+00 -6.00306240391726e+00 +6.18888902234236e-04 +0.00000000000000e+00 +9.99999808488245e-01
-6.10311383358857e+00 +9.10570006562132e+00 +0.00000000000000e+00 -6.10311343088746e+00 +6.29203715921428e-04 +0.00000000000000e+00 +9.99999802051322e-01
-6.20316488004084e+00 +9.10563659712686e+00 +0.00000000000000e+00 -6.20316445720831e+00 +6.39518529541676e-04 +0.00000000000000e+00 +9.99999795508004e-01
-6.30321592649311e+00 +9.10557209662414e+00 +0.00000000000000e+00 -6.30321548286918e+00 +6.49833343093881e-04 +0.00000000000000e+00 +9.99999788858291e-01
-6.40326697294538e+00 +9.10550656411495e+00 +0.00000000000000e+00 -6.40326650785941e+00 +6.60148156576948e-04 +0.00000000000000e+00 +9.99999782102182e-01
-6.50331801939765e+00 +9.10543999959572e+00 +0.00000000000000e+00 -6.50331753216836e+00 +6.70462969989777e-04 +0.00000000000000e+00 +9.99999775239678e-01
-6.60336906584993e+00 +9.10537240307000e+00 +0.00000000000000e+00 -6.60336855578539e+00 +6.80777783331273e-04 +0.00000000000000e+00 +9.99999768270778e-01
-6.70342011230220e+00 +9.10530377453781e+00 +0.00000000000000e+00 -6.70341957869985e+00 +6.91092596600337e-04 +0.00000000000000e+00 +9.99999761195483e-01
-6.80347115875447e+00 +9.10523411399559e+00 +0.00000000000000e+00 -6.80347060090110e+00 +7.01407409795871e-04 +0.00000000000000e+00 +9.99999754013792e-01
-6.90352220520674e+00 +9.10516342144689e+00 +0.00000000000000e+00 -6.90352162237849e+00 +7.11722222916779e-04 +0.00000000000000e+00 +9.99999746725707e-01
-7.00357325165901e+00 +9.10509169688993e+00 +0.00000000000000e+00 -7.00357264312138e+00 +7.22037035961964e-04 +0.00000000000000e+00 +9.99999739331225e-01
-7.10362429811128e+00 +9.10501894032471e+00 +0.00000000000000e+00 -7.10362366311912e+00 +7.32351848930326e-04 +0.00000000000000e+00 +9.99999731830349e-01
-7.20367534456355e+00 +9.10494515175301e+00 +0.00000000000000e+00 -7.20367468236107e+00 +7.42666661820770e-04 +0.00000000000000e+00 +9.99999724223077e-01
-7.30372639101583e+00 +9.10487033117128e+00 +0.00000000000000e+00 -7.30372570083658e+00 +7.52981474632198e-04 +0.00000000000000e+00 +9.99999716509409e-01
-7.40377743746810e+00 +9.10479447858307e+00 +0.00000000000000e+00 -7.40377671853500e+00 +7.63296287363512e-04 +0.00000000000000e+00 +9.99999708689346e-01
-7.50382848392037e+00 +9.10471759398660e+00 +0.00000000000000e+00 -7.50382773544570e+00 +7.73611100013614e-04 +0.00000000000000e+00 +9.99999700762888e-01
-7.60387953037264e+00 +9.10463967738366e+00 +0.00000000000000e+00 -7.60387875155802e+00 +7.83925912581408e-04 +0.00000000000000e+00 +9.99999692730035e-01
-7.70393057682491e+00 +9.10456072877068e+00 +0.00000000000000e+00 -7.70392976686133e+00 +7.94240725065796e-04 +0.00000000000000e+00 +9.99999684590786e-01
-7.80398162327718e+00 +9.10448074815122e+00 +0.00000000000000e+00 -7.80398078134498e+00 +8.04555537465680e-04 +0.00000000000000e+00 +9.99999676345141e-01
-7.90403266972945e+00 +9.10439973552350e+00 +0.00000000000000e+00 -7.90403179499831e+00 +8.14870349779963e-04 +0.00000000000000e+00 +9.99999667993101e-01
-8.00408371618173e+00 +9.10431769088930e+00 +0.00000000000000e+00 -8.00408280781069e+00 +8.25185162007548e-04 +0.00000000000000e+00 +9.99999659534666e-01
-8.10413476263400e+00 +9.10423461424685e+00 +0.00000000000000e+00 -8.10413381977148e+00 +8.35499974147336e-04 +0.00000000000000e+00 +9.99999650969836e-01
-8.20418580908627e+00 +9.10415050559614e+00 +0.00000000000000e+00 -8.20418483087002e+00 +8.45814786198232e-04 +0.00000000000000e+00 +9.99999642298610e-01
-8.30423685553854e+00 +9.10406536493717e+00 +0.00000000000000e+00 -8.30423584109568e+00 +8.56129598159136e-04 +0.00000000000000e+00 +9.99999633520988e-01
-8.40428790199081e+00 +9.10397919226994e+00 +0.00000000000000e+00 -8.40428685043780e+00 +8.66444410028952e-04 +0.00000000000000e+00 +9.99999624636972e-01
-8.50433894844308e+00 +9.10389198759802e+00 +0.00000000000000e+00 -8.50433785888574e+00 +8.76759221806583e-04 +0.00000000000000e+00 +9.99999615646560e-01
-8.60438999489536e+00 +9.10380375091606e+00 +0.00000000000000e+00 -8.60438886642887e+00 +8.87074033490931e-04 +0.00000000000000e+00 +9.99999606549752e-01
-8.70444104134763e+00 +9.10371448222761e+00 +0.00000000000000e+00 -8.70443987305652e+00 +8.97388845080897e-04 +0.00000000000000e+00 +9.99999597346549e-01
-8.80449208779990e+00 +9.10362418153092e+00 +0.00000000000000e+00 -8.80449087875806e+00 +9.07703656575386e-04 +0.00000000000000e+00 +9.99999588036951e-01
-8.90454313425217e+00 +9.10353284882596e+00 +0.00000000000000e+00 -8.90454188352285e+00 +9.18018467973299e-04 +0.00000000000000e+00 +9.99999578620957e-01
-9.00459418070444e+00 +9.10344048411275e+00 +0.00000000000000e+00 -9.00459288734023e+00 +9.28333279273539e-04 +0.00000000000000e+00 +9.99999569098568e-01
-9.10464522715671e+00 +9.10334708739306e+00 +0.00000000000000e+00 -9.10464389019956e+00 +9.38648090475009e-04 +0.00000000000000e+00 +9.99999559469784e-01
-9.20469627360899e+00 +9.10325265866511e+00 +0.00000000000000e+00 -9.20469489209021e+00 +9.48962901576611e-04 +0.00000000000000e+00 +9.99999549734604e-01
-9.30474732006126e+00 +9.10315719793068e+00 +0.00000000000000e+00 -9.30474589300151e+00 +9.59277712577248e-04 +0.00000000000000e+00 +9.99999539893029e-01
-9.40479836651353e+00 +9.10306070518800e+00 +0.00000000000000e+00 -9.40479689292283e+00 +9.69592523475822e-04 +0.00000000000000e+00 +9.99999529945059e-01
-9.50484941296580e+00 +9.10296318043706e+00 +0.00000000000000e+00 -9.50484789184353e+00 +9.79907334271235e-04 +0.00000000000000e+00 +9.99999519890693e-01
-9.60490045941807e+00 +9.10286462367963e+00 +0.00000000000000e+00 -9.60489888975295e+00 +9.90222144962391e-04 +0.00000000000000e+00 +9.99999509729932e-01
-9.70495150587034e+00 +9.10276503491396e+00 +0.00000000000000e+00 -9.70494988664046e+00 +1.00053695554819e-03 +0.00000000000000e+00 +9.99999499462775e-01
-9.80500255232261e+00 +9.10266441414180e+00 +0.00000000000000e+00 -9.80500088249540e+00 +1.01085176602754e-03 +0.00000000000000e+00 +9.99999489089223e-01
-9.90505359877489e+00 +9.10256276135961e+00 +0.00000000000000e+00 -9.90505187730714e+00 +1.02116657639934e-03 +0.00000000000000e+00 +9.99999478609276e-01
-1.00051046452272e+01 +9.10246007657093e+00 +0.00000000000000e+00 -1.00051028710650e+01 +1.03148138666249e-03 +0.00000000000000e+00 +9.99999468022933e-01
-1.01051556916794e+01 +9.10235635977578e+00 +0.00000000000000e+00 -1.01051538637584e+01 +1.04179619681590e-03 +0.00000000000000e+00 +9.99999457330195e-01
-1.02052067381317e+01 +9.10225161097237e+00 +0.00000000000000e+00 -1.02052048553766e+01 +1.05211100685846e-03 +0.00000000000000e+00 +9.99999446531061e-01
-1.03052577845840e+01 +9.10214583016071e+00 +0.00000000000000e+00 -1.03052558459091e+01 +1.06242581678908e-03 +0.00000000000000e+00 +9.99999435625533e-01
-1.04053088310362e+01 +9.10203901734256e+00 +0.00000000000000e+00 -1.04053068353451e+01 +1.07274062660667e-03 +0.00000000000000e+00 +9.99999424613608e-01
-1.05053598774885e+01 +9.10193117251616e+00 +0.00000000000000e+00 -1.05053578236741e+01 +1.08305543631012e-03 +0.00000000000000e+00 +9.99999413495289e-01
-1.06054109239408e+01 +9.10182229568328e+00 +0.00000000000000e+00 -1.06054088108853e+01 +1.09337024589834e-03 +0.00000000000000e+00 +9.99999402270574e-01
-1.07054619703931e+01 +9.10171238684214e+00 +0.00000000000000e+00 -1.07054597969682e+01 +1.10368505537023e-03 +0.00000000000000e+00 +9.99999390939464e-01
-1.08055130168453e+01 +9.10160144599274e+00 +0.00000000000000e+00 -1.08055107819120e+01 +1.11399986472470e-03 +0.00000000000000e+00 +9.99999379501958e-01
-1.09055640632976e+01 +9.10148947313686e+00 +0.00000000000000e+00 -1.09055617657062e+01 +1.12431467396063e-03 +0.00000000000000e+00 +9.99999367958057e-01
-1.10056151097499e+01 +9.10137646827451e+00 +0.00000000000000e+00 -1.10056127483401e+01 +1.13462948307695e-03 +0.00000000000000e+00 +9.99999356307761e-01
-1.11056661562021e+01 +9.10126243140389e+00 +0.00000000000000e+00 -1.11056637298030e+01 +1.14494429207255e-03 +0.00000000000000e+00 +9.99999344551069e-01
-1.12057172026544e+01 +9.10114736252502e+00 +0.00000000000000e+00 -1.12057147100844e+01 +1.15525910094633e-03 +0.00000000000000e+00 +9.99999332687982e-01
-1.13057682491067e+01 +9.10103126163967e+00 +0.00000000000000e+00 -1.13057656891735e+01 +1.16557390969719e-03 +0.00000000000000e+00 +9.99999320718500e-01
-1.14058192955590e+01 +9.10091412874607e+00 +0.00000000000000e+00 -1.14058166670597e+01 +1.17588871832405e-03 +0.00000000000000e+00 +9.99999308642622e-01
-1.15058703420112e+01 +9.10079596384598e+00 +0.00000000000000e+00 -1.15058676437324e+01 +1.18620352682579e-03 +0.00000000000000e+00 +9.99999296460349e-01
-1.16059213884635e+01 +9.10067676693764e+00 +0.00000000000000e+00 -1.16059186191810e+01 +1.19651833520133e-03 +0.00000000000000e+00 +9.99999284171681e-01
-1.17059724349158e+01 +9.10055653802281e+00 +0.00000000000000e+00 -1.17059695933947e+01 +1.20683314344957e-03 +0.00000000000000e+00 +9.99999271776617e-01
-1.18060234813680e+01 +9.10043527709973e+00 +0.00000000000000e+00 -1.18060205663629e+01 +1.21714795156940e-03 +0.00000000000000e+00 +9.99999259275158e-01
-1.19060745278203e+01 +9.10031298417017e+00 +0.00000000000000e+00 -1.19060715380751e+01 +1.22746275955974e-03 +0.00000000000000e+00 +9.99999246667303e-01
-1.20061255742726e+01 +9.10018965923235e+00 +0.00000000000000e+00 -1.20061225085205e+01 +1.23777756741947e-03 +0.00000000000000e+00 +9.99999233953053e-01
-1.21061766207249e+01 +9.10006530228806e+00 +0.00000000000000e+00 -1.21061734776885e+01 +1.24809237514752e-03 +0.00000000000000e+00 +9.99999221132408e-01
-1.22062276671771e+01 +9.09993991333550e+00 +0.00000000000000e+00 -1.22062244455684e+01 +1.25840718274277e-03 +0.00000000000000e+00 +9.99999208205368e-01
-1.23062787136294e+01 +9.09981349237824e+00 +0.00000000000000e+00 -1.23062754121497e+01 +1.26872199020413e-03 +0.00000000000000e+00 +9.99999195171932e-01
-1.24063297600817e+01 +9.09968603941095e+00 +0.00000000000000e+00 -1.24063263774217e+01 +1.27903679753051e-03 +0.00000000000000e+00 +9.99999182032101e-01
-1.25063808065339e+01 +9.09955755443718e+00 +0.00000000000000e+00 -1.25063773413736e+01 +1.28935160472080e-03 +0.00000000000000e+00 +9.99999168785874e-01
-1.26064318529862e+01 +9.09942803745693e+00 +0.00000000000000e+00 -1.26064283039950e+01 +1.29966641177392e-03 +0.00000000000000e+00 +9.99999155433252e-01
-1.27064828994385e+01 +9.09929748846842e+00 +0.00000000000000e+00 -1.27064792652750e+01 +1.30998121868875e-03 +0.00000000000000e+00 +9.99999141974235e-01
-1.28065339458908e+01 +9.09916590747343e+00 +0.00000000000000e+00 -1.28065302252032e+01 +1.32029602546421e-03 +0.00000000000000e+00 +9.99999128408823e-01
-1.29065849923430e+01 +9.09903329447019e+00 +0.00000000000000e+00 -1.29065811837688e+01 +1.33061083209919e-03 +0.00000000000000e+00 +9.99999114737015e-01
-1.30066360387953e+01 +9.09889964946046e+00 +0.00000000000000e+00 -1.30066321409612e+01 +1.34092563859261e-03 +0.00000000000000e+00 +9.99999100958812e-01
-1.31066870852476e+01 +9.09876497244426e+00 +0.00000000000000e+00 -1.31066830967698e+01 +1.35124044494335e-03 +0.00000000000000e+00 +9.99999087074213e-01
-1.32067381316999e+01 +9.09862926341979e+00 +0.00000000000000e+00 -1.32067340511839e+01 +1.36155525115033e-03 +0.00000000000000e+00 +9.99999073083219e-01
-1.33067891781521e+01 +9.09849252238885e+00 +0.00000000000000e+00 -1.33067850041928e+01 +1.37187005721245e-03 +0.00000000000000e+00 +9.99999058985830e-01
-1.34068402246044e+01 +9.09835474934965e+00 +0.00000000000000e+00 -1.34068359557860e+01 +1.38218486312861e-03 +0.00000000000000e+00 +9.99999044782046e-01
-1.35068912710567e+01 +9.09821594430575e+00 +0.00000000000000e+00 -1.35068869059527e+01 +1.39249966889770e-03 +0.00000000000000e+00 +9.99999030471866e-01
-1.36069423175089e+01 +9.09807610725181e+00 +0.00000000000000e+00 -1.36069378546823e+01 +1.40281447451865e-03 +0.00000000000000e+00 +9.99999016055291e-01
-1.37069933639612e+01 +9.09793523819317e+00 +0.00000000000000e+00 -1.37069888019643e+01 +1.41312927999033e-03 +0.00000000000000e+00 +9.99999001532321e-01
-1.38070444104135e+01 +9.09779333712627e+00 +0.00000000000000e+00 -1.38070397477879e+01 +1.42344408531167e-03 +0.00000000000000e+00 +9.99998986902955e-01
-1.39070954568657e+01 +9.09765040405112e+00 +0.00000000000000e+00 -1.39070906921424e+01 +1.43375889048156e-03 +0.00000000000000e+00 +9.99998972167194e-01
-1.40071465033180e+01 +9.09750643897126e+00 +0.00000000000000e+00 -1.40071416350174e+01 +1.44407369549891e-03 +0.00000000000000e+00 +9.99998957325037e-01
-1.41071975497703e+01 +9.09736144188315e+00 +0.00000000000000e+00 -1.41071925764020e+01 +1.45438850036261e-03 +0.00000000000000e+00 +9.99998942376486e-01
-1.42072485962226e+01 +9.09721541278856e+00 +0.00000000000000e+00 -1.42072435162857e+01 +1.46470330507157e-03 +0.00000000000000e+00 +9.99998927321539e-01
-1.43072996426748e+01 +9.09706835168570e+00 +0.00000000000000e+00 -1.43072944546578e+01 +1.47501810962470e-03 +0.00000000000000e+00 +9.99998912160196e-01
-1.44073506891271e+01 +9.09692025857637e+00 +0.00000000000000e+00 -1.44073453915077e+01 +1.48533291402089e-03 +0.00000000000000e+00 +9.99998896892459e-01
-1.45074017355794e+01 +9.09677113346056e+00 +0.00000000000000e+00 -1.45073963268246e+01 +1.49564771825904e-03 +0.00000000000000e+00 +9.99998881518326e-01
-1.46074527820317e+01 +9.09662097633827e+00 +0.00000000000000e+00 -1.46074472605981e+01 +1.50596252233807e-03 +0.00000000000000e+00 +9.99998866037798e-01
-1.47075038284839e+01 +9.09646978720950e+00 +0.00000000000000e+00 -1.47074981928174e+01 +1.51627732625687e-03 +0.00000000000000e+00 +9.99998850450874e-01
-1.48075548749362e+01 +9.09631756607247e+00 +0.00000000000000e+00 -1.48075491234719e+01 +1.52659213001434e-03 +0.00000000000000e+00 +9.99998834757555e-01
-1.49076059213885e+01 +9.09616431292896e+00 +0.00000000000000e+00 -1.49076000525510e+01 +1.53690693360939e-03 +0.00000000000000e+00 +9.99998818957841e-01
-1.50076569678407e+01 +9.09601002777720e+00 +0.00000000000000e+00 -1.50076509800439e+01 +1.54722173704093e-03 +0.00000000000000e+00 +9.99998803051732e-01
-1.51077080142930e+01 +9.09585471062073e+00 +0.00000000000000e+00 -1.51077019059401e+01 +1.55753654030784e-03 +0.00000000000000e+00 +9.99998787039227e-01
-1.52077590607453e+01 +9.09569836145600e+00 +0.00000000000000e+00 -1.52077528302289e+01 +1.56785134340904e-03 +0.00000000000000e+00 +9.99998770920327e-01
-1.53078101071976e+01 +9.09554098028479e+00 +0.00000000000000e+00 -1.53078037528997e+01 +1.57816614634343e-03 +0.00000000000000e+00 +9.99998754695032e-01
-1.54078611536498e+01 +9.09538256710711e+00 +0.00000000000000e+00 -1.54078546739418e+01 +1.58848094910991e-03 +0.00000000000000e+00 +9.99998738363341e-01
-1.55079122001021e+01 +9.09522312192294e+00 +0.00000000000000e+00 -1.55079055933446e+01 +1.59879575170738e-03 +0.00000000000000e+00 +9.99998721925255e-01
-1.56079632465544e+01 +9.09506264473229e+00 +0.00000000000000e+00 -1.56079565110974e+01 +1.60911055413474e-03 +0.00000000000000e+00 +9.99998705380774e-01
-1.57080142930066e+01 +9.09490113553339e+00 +0.00000000000000e+00 -1.57080074271895e+01 +1.61942535639091e-03 +0.00000000000000e+00 +9.99998688729898e-01
-1.58080653394589e+01 +9.09473859432978e+00 +0.00000000000000e+00 -1.58080583416105e+01 +1.62974015847477e-03 +0.00000000000000e+00 +9.99998671972626e-01
-1.59081163859112e+01 +9.09457502111792e+00 +0.00000000000000e+00 -1.59081092543495e+01 +1.64005496038524e-03 +0.00000000000000e+00 +9.99998655108959e-01
-1.60081674323635e+01 +9.09441041589780e+00 +0.00000000000000e+00 -1.60081601653959e+01 +1.65036976212121e-03 +0.00000000000000e+00 +9.99998638138897e-01
-1.61082184788157e+01 +9.09424477867297e+00 +0.00000000000000e+00 -1.61082110747392e+01 +1.66068456368159e-03 +0.00000000000000e+00 +9.99998621062439e-01
-1.62082695252680e+01 +9.09407810944167e+00 +0.00000000000000e+00 -1.62082619823686e+01 +1.67099936506529e-03 +0.00000000000000e+00 +9.99998603879586e-01
-1.63083205717203e+01 +9.09391040820210e+00 +0.00000000000000e+00 -1.63083128882736e+01 +1.68131416627119e-03 +0.00000000000000e+00 +9.99998586590338e-01
-1.64083716181725e+01 +9.09374167495784e+00 +0.00000000000000e+00 -1.64083637924434e+01 +1.69162896729821e-03 +0.00000000000000e+00 +9.99998569194695e-01
