fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
0.000	0.000	-741.500	1.0018199968e-04  -5.3226576992e-03  -3.4858438588e-04
2.000	0.000	-741.500	9.9268106963e-05  -5.3262140489e-03  -3.4937857113e-04
4.000	0.000	-741.500	9.8845594442e-05  -5.3253300685e-03  -3.5023384757e-04
6.000	0.000	-741.500	9.8076882234e-05  -5.3201394693e-03  -3.5000614410e-04
8.000	0.000	-741.500	9.6647412560e-05  -5.3119403654e-03  -3.4904534655e-04
10.000	0.000	-741.500	9.5683265045e-05  -5.2992563609e-03  -3.4926009128e-04
12.000	0.000	-741.500	9.4224014753e-05  -5.2834264262e-03  -3.4845109604e-04
14.000	0.000	-741.500	9.1713136379e-05  -5.2640735696e-03  -3.4685902303e-04
16.000	0.000	-741.500	9.0791798503e-05  -5.2407483724e-03  -3.4517253639e-04
18.000	0.000	-741.500	8.7649943281e-05  -5.2138111126e-03  -3.4404882904e-04
20.000	0.000	-741.500	8.4898958673e-05  -5.1841494845e-03  -3.4246786352e-04
22.000	0.000	-741.500	8.2819899264e-05  -5.1496111074e-03  -3.4043334231e-04
24.000	0.000	-741.500	7.9201554150e-05  -5.1133604826e-03  -3.3845620978e-04
26.000	0.000	-741.500	7.6389147017e-05  -5.0731969446e-03  -3.3592925668e-04
28.000	0.000	-741.500	7.2026286448e-05  -5.0309237390e-03  -3.3328567498e-04
30.000	0.000	-741.500	6.6044104764e-05  -4.9852316092e-03  -3.3117525262e-04
32.000	0.000	-741.500	6.0393232457e-05  -4.9362152675e-03  -3.2738759985e-04
34.000	0.000	-741.500	5.4781447212e-05  -4.8855331055e-03  -3.2431823118e-04
36.000	0.000	-741.500	4.8278104708e-05  -4.8316697283e-03  -3.2126367250e-04
38.000	0.000	-741.500	4.0598427785e-05  -4.7763540977e-03  -3.1792957541e-04
40.000	0.000	-741.500	3.3030428181e-05  -4.7188508012e-03  -3.1355137463e-04
42.000	0.000	-741.500	2.4755138894e-05  -4.6590131279e-03  -3.1011175643e-04
44.000	0.000	-741.500	1.5357492557e-05  -4.5967927932e-03  -3.0585944049e-04
46.000	0.000	-741.500	5.6043400909e-06  -4.5332613447e-03  -3.0213658139e-04
48.000	0.000	-741.500	-5.8649205003e-06  -4.4678505093e-03  -2.9816750635e-04
50.000	0.000	-741.500	-1.7040097487e-05  -4.4011434169e-03  -2.9410216642e-04
-50.000	0.000	-739.500	1.3874045512e-04  -4.3608628814e-03  -3.2566593950e-04
-48.000	0.000	-739.500	1.3709507597e-04  -4.4494354890e-03  -3.2770786570e-04
-46.000	0.000	-739.500	1.3488944893e-04  -4.5358130024e-03  -3.3091607794e-04
-44.000	0.000	-739.500	1.3292578942e-04  -4.6206379788e-03  -3.3295615290e-04
-42.000	0.000	-739.500	1.3037024011e-04  -4.7032028624e-03  -3.3590889296e-04
-40.000	0.000	-739.500	1.2792264555e-04  -4.7832978008e-03  -3.3752688344e-04
-38.000	0.000	-739.500	1.2738287185e-04  -4.8612552152e-03  -3.4036114365e-04
-36.000	0.000	-739.500	1.2502461914e-04  -4.9365216892e-03  -3.4260670709e-04
-34.000	0.000	-739.500	1.2264961484e-04  -5.0086700896e-03  -3.4493372544e-04
-32.000	0.000	-739.500	1.2113266460e-04  -5.0784116861e-03  -3.4758656337e-04
-30.000	0.000	-739.500	1.1946867256e-04  -5.1451707773e-03  -3.5052079096e-04
-28.000	0.000	-739.500	1.1804292546e-04  -5.2088637937e-03  -3.5297554539e-04
-26.000	0.000	-739.500	1.1717370367e-04  -5.2683597602e-03  -3.5454170094e-04
-24.000	0.000	-739.500	1.1587266291e-04  -5.3246373696e-03  -3.5699090163e-04
-22.000	0.000	-739.500	1.1513187003e-04  -5.3777523348e-03  -3.5911798522e-04
