fieldmap_name:		BD-006
timestamp:		2017-04-03_13-38-03
filename:		2017-04-03_BD-006_Model09_Hall_I=991.63A_8.dat
nr_magnets:		1

magnet_name:		BD-006
gap[mm]:		28
control_gap[mm]:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:		11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:		0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	1.4018853768e-04, -4.0786799952e-03, -3.0227542497e-04
-48.000	0.000	-741.500	1.3750455947e-04, -4.1596310575e-03, -3.0393599414e-04
-46.000	0.000	-741.500	1.3593177057e-04, -4.2395458570e-03, -3.0565024950e-04
-44.000	0.000	-741.500	1.3261123164e-04, -4.3184262509e-03, -3.0737931484e-04
-42.000	0.000	-741.500	1.3038699171e-04, -4.3941365723e-03, -3.0916206636e-04
-40.000	0.000	-741.500	1.2680028851e-04, -4.4682330722e-03, -3.1088742921e-04
-38.000	0.000	-741.500	1.2501531270e-04, -4.5403164740e-03, -3.1175936687e-04
-36.000	0.000	-741.500	1.2365284942e-04, -4.6090682353e-03, -3.1391236793e-04
-34.000	0.000	-741.500	1.2146955784e-04, -4.6763398866e-03, -3.1592467417e-04
-32.000	0.000	-741.500	1.1934582751e-04, -4.7397691945e-03, -3.1805916275e-04
-30.000	0.000	-741.500	1.1817321567e-04, -4.8009105532e-03, -3.1988264172e-04
-28.000	0.000	-741.500	1.1598620152e-04, -4.8589449807e-03, -3.2134327615e-04
-26.000	0.000	-741.500	1.1494946374e-04, -4.9137109093e-03, -3.2369621196e-04
-24.000	0.000	-741.500	1.1339901031e-04, -4.9657766120e-03, -3.2469958821e-04
-22.000	0.000	-741.500	1.1164567641e-04, -5.0131958464e-03, -3.2680260558e-04
-20.000	0.000	-741.500	1.1180760852e-04, -5.0590049735e-03, -3.2844281103e-04
-18.000	0.000	-741.500	1.0974343942e-04, -5.1011203254e-03, -3.2969055197e-04
-16.000	0.000	-741.500	1.0837725356e-04, -5.1386820640e-03, -3.3127151750e-04
-14.000	0.000	-741.500	1.0829721815e-04, -5.1739502821e-03, -3.3247297725e-04
-12.000	0.000	-741.500	1.0770160578e-04, -5.2046500300e-03, -3.3403357905e-04
-10.000	0.000	-741.500	1.0721208687e-04, -5.2308760199e-03, -3.3467040825e-04
-8.000	0.000	-741.500	1.0704643218e-04, -5.2543683562e-03, -3.3593110793e-04
-6.000	0.000	-741.500	1.0629074900e-04, -5.2725382390e-03, -3.3697891412e-04
-4.000	0.000	-741.500	1.0577144947e-04, -5.2892632968e-03, -3.3796007540e-04
-2.000	0.000	-741.500	1.0541594334e-04, -5.2994309285e-03, -3.3868206199e-04
0.000	0.000	-741.500	1.0394924789e-04, -5.3075316060e-03, -3.3858579711e-04
2.000	0.000	-741.500	1.0413723804e-04, -5.3107852481e-03, -3.3840807734e-04
4.000	0.000	-741.500	1.0374636743e-04, -5.3100888350e-03, -3.3956140465e-04
6.000	0.000	-741.500	1.0286411661e-04, -5.3047942381e-03, -3.3910784896e-04
8.000	0.000	-741.500	1.0265192971e-04, -5.2975571129e-03, -3.3914672516e-04
10.000	0.000	-741.500	1.0076086045e-04, -5.2856790905e-03, -3.3719736135e-04
12.000	0.000	-741.500	1.0070502179e-04, -5.2694201653e-03, -3.3687339300e-04
14.000	0.000	-741.500	9.9954922471e-05, -5.2496680318e-03, -3.3570155322e-04
16.000	0.000	-741.500	9.9230881190e-05, -5.2275425224e-03, -3.3433162993e-04
18.000	0.000	-741.500	9.6924744567e-05, -5.2010045394e-03, -3.3259701084e-04
20.000	0.000	-741.500	9.4000660116e-05, -5.1710179185e-03, -3.3158808085e-04
22.000	0.000	-741.500	9.1916016841e-05, -5.1379540802e-03, -3.2926291376e-04
24.000	0.000	-741.500	8.9656412433e-05, -5.1015493159e-03, -3.2658230711e-04
26.000	0.000	-741.500	8.4632794398e-05, -5.0625576090e-03, -3.2372583192e-04
28.000	0.000	-741.500	8.1267584539e-05, -5.0200336947e-03, -3.2171352569e-04
30.000	0.000	-741.500	7.6394730883e-05, -4.9743267082e-03, -3.1931430868e-04
32.000	0.000	-741.500	7.2655402008e-05, -4.9273048936e-03, -3.1574510314e-04
34.000	0.000	-741.500	6.7287445575e-05, -4.8765985893e-03, -3.1219070758e-04
36.000	0.000	-741.500	6.0564471012e-05, -4.8231549171e-03, -3.0864371701e-04
38.000	0.000	-741.500	5.3914086706e-05, -4.7687659802e-03, -3.0461355079e-04
40.000	0.000	-741.500	4.6759293179e-05, -4.7113388249e-03, -3.0069260819e-04
42.000	0.000	-741.500	3.8800422961e-05, -4.6520657106e-03, -2.9678832682e-04
44.000	0.000	-741.500	3.1126329904e-05, -4.5904006492e-03, -2.9216761259e-04
46.000	0.000	-741.500	2.1933425317e-05, -4.5278311794e-03, -2.8812633889e-04
48.000	0.000	-741.500	1.2589756352e-05, -4.4637054583e-03, -2.8383144425e-04
50.000	0.000	-741.500	2.0213594615e-06, -4.3971636480e-03, -2.7961245077e-04
-50.000	0.000	-739.500	1.4152494293e-04, -4.3508716744e-03, -3.1968270697e-04
-48.000	0.000	-739.500	1.3940865774e-04, -4.4386308714e-03, -3.2191716293e-04
-46.000	0.000	-739.500	1.3782842369e-04, -4.5248096750e-03, -3.2378507185e-04
-44.000	0.000	-739.500	1.3477963290e-04, -4.6098017905e-03, -3.2601027157e-04
-42.000	0.000	-739.500	1.3290531524e-04, -4.6915031219e-03, -3.2860016709e-04
-40.000	0.000	-739.500	1.2892960271e-04, -4.7714272069e-03, -3.3047362975e-04
-38.000	0.000	-739.500	1.2792078427e-04, -4.8490781995e-03, -3.3200831408e-04
-36.000	0.000	-739.500	1.2671094665e-04, -4.9235721192e-03, -3.3452786218e-04
-34.000	0.000	-739.500	1.2467469688e-04, -4.9963315060e-03, -3.3710294772e-04
-32.000	0.000	-739.500	1.2284132757e-04, -5.0646449913e-03, -3.3957436338e-04
-30.000	0.000	-739.500	1.2167057702e-04, -5.1304551036e-03, -3.4167367826e-04
-28.000	0.000	-739.500	1.2056683285e-04, -5.1938045561e-03, -3.4393775418e-04
-26.000	0.000	-739.500	1.1959710147e-04, -5.2523775432e-03, -3.4681089059e-04
-24.000	0.000	-739.500	1.1828489298e-04, -5.3086644380e-03, -3.4748104225e-04
-22.000	0.000	-739.500	1.1682192011e-04, -5.3601284398e-03, -3.5010611148e-04
-20.000	0.000	-739.500	1.1741380990e-04, -5.4091763523e-03, -3.5236648490e-04
-18.000	0.000	-739.500	1.1543339879e-04, -5.4543299226e-03, -3.5381786309e-04
-16.000	0.000	-739.500	1.1448414158e-04, -5.4951583030e-03, -3.5553396970e-04
-14.000	0.000	-739.500	1.1507230879e-04, -5.5325956158e-03, -3.5730376249e-04
-12.000	0.000	-739.500	1.1473355426e-04, -5.5655628849e-03, -3.5869590075e-04
-10.000	0.000	-739.500	1.1458651246e-04, -5.5939356844e-03, -3.5972334321e-04
-8.000	0.000	-739.500	1.1519887642e-04, -5.6190715556e-03, -3.6146166479e-04
-6.000	0.000	-739.500	1.1500344111e-04, -5.6385804088e-03, -3.6284269557e-04
-4.000	0.000	-739.500	1.1483964771e-04, -5.6558198837e-03, -3.6356468217e-04
-2.000	0.000	-739.500	1.1478194777e-04, -5.6664703618e-03, -3.6457176091e-04
0.000	0.000	-739.500	1.1416958380e-04, -5.6751225985e-03, -3.6452177722e-04
2.000	0.000	-739.500	1.1483406385e-04, -5.6777986821e-03, -3.6442921484e-04
4.000	0.000	-739.500	1.1459954148e-04, -5.6767698477e-03, -3.6565288956e-04
6.000	0.000	-739.500	1.1433151592e-04, -5.6711094018e-03, -3.6558809589e-04
8.000	0.000	-739.500	1.1422169989e-04, -5.6620764592e-03, -3.6520673887e-04
10.000	0.000	-739.500	1.1331711361e-04, -5.6486143292e-03, -3.6372759196e-04
12.000	0.000	-739.500	1.1343809737e-04, -5.6306505846e-03, -3.6298894414e-04
14.000	0.000	-739.500	1.1252978851e-04, -5.6090896341e-03, -3.6180784811e-04
16.000	0.000	-739.500	1.1230643388e-04, -5.5842731843e-03, -3.6006027029e-04
18.000	0.000	-739.500	1.1021806802e-04, -5.5547248395e-03, -3.5854409844e-04
20.000	0.000	-739.500	1.0795101846e-04, -5.5220751348e-03, -3.5729265500e-04
22.000	0.000	-739.500	1.0624235549e-04, -5.4854196618e-03, -3.5415479017e-04
24.000	0.000	-739.500	1.0400136397e-04, -5.4453675499e-03, -3.5156674590e-04
26.000	0.000	-739.500	9.9484016445e-05, -5.4027117814e-03, -3.4854365843e-04
28.000	0.000	-739.500	9.6008990557e-05, -5.3560911008e-03, -3.4597597788e-04
30.000	0.000	-739.500	9.1093327262e-05, -5.3056615046e-03, -3.4320651134e-04
32.000	0.000	-739.500	8.7595965910e-05, -5.2542625014e-03, -3.3967433075e-04
34.000	0.000	-739.500	8.2360160970e-05, -5.1988410159e-03, -3.3547384975e-04
36.000	0.000	-739.500	7.5586931614e-05, -5.1404685959e-03, -3.3115303765e-04
38.000	0.000	-739.500	6.9033334318e-05, -5.0809299160e-03, -3.2689701921e-04
40.000	0.000	-739.500	6.1495115331e-05, -5.0184681580e-03, -3.2268913322e-04
42.000	0.000	-739.500	5.3305445321e-05, -4.9533433163e-03, -3.1798141035e-04
44.000	0.000	-739.500	4.5609016801e-05, -4.8865285120e-03, -3.1274793314e-04
46.000	0.000	-739.500	3.6241151082e-05, -4.8181388855e-03, -3.0818645883e-04
48.000	0.000	-739.500	2.6285118154e-05, -4.7483322904e-03, -3.0311774266e-04
50.000	0.000	-739.500	1.5193699157e-05, -4.6755691894e-03, -2.9848221845e-04
-50.000	0.000	-737.500	1.4290415781e-04, -4.6430996236e-03, -3.3892457544e-04
-48.000	0.000	-737.500	1.4082695969e-04, -4.7375963856e-03, -3.4188472049e-04
-46.000	0.000	-737.500	1.3929698043e-04, -4.8306037520e-03, -3.4385259679e-04
-44.000	0.000	-737.500	1.3644920881e-04, -4.9227308522e-03, -3.4664612955e-04
-42.000	0.000	-737.500	1.3470332007e-04, -5.0108726122e-03, -3.4985989553e-04
-40.000	0.000	-737.500	1.3157077129e-04, -5.0969975597e-03, -3.5227207127e-04
-38.000	0.000	-737.500	1.3058614960e-04, -5.1806989896e-03, -3.5446765103e-04
-36.000	0.000	-737.500	1.2958663760e-04, -5.2613510585e-03, -3.5732967995e-04
-34.000	0.000	-737.500	1.2822603560e-04, -5.3401311689e-03, -3.6052493346e-04
-32.000	0.000	-737.500	1.2645595011e-04, -5.4140401016e-03, -3.6307410153e-04
