X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	1.3881862925e-04, -4.0819466371e-03, -3.1875893438e-04
-48.000	0.000	-741.500	1.3676748917e-04, -4.1631781217e-03, -3.2121924255e-04
-46.000	0.000	-741.500	1.3562465794e-04, -4.2431207778e-03, -3.2250956219e-04
-44.000	0.000	-741.500	1.3168617118e-04, -4.3218247470e-03, -3.2533826866e-04
-42.000	0.000	-741.500	1.2904872518e-04, -4.3982741948e-03, -3.2816512388e-04
-40.000	0.000	-741.500	1.2768067803e-04, -4.4731525346e-03, -3.2914073141e-04
-38.000	0.000	-741.500	1.2595712475e-04, -4.5445915221e-03, -3.3097531787e-04
-36.000	0.000	-741.500	1.2325639494e-04, -4.6134918515e-03, -3.3426498501e-04
-34.000	0.000	-741.500	1.2066734244e-04, -4.6807152182e-03, -3.3576634689e-04
-32.000	0.000	-741.500	1.1879116349e-04, -4.7448353679e-03, -3.3704926153e-04
-30.000	0.000	-741.500	1.1727607454e-04, -4.8066155696e-03, -3.3990388547e-04
-28.000	0.000	-741.500	1.1586149518e-04, -4.8651235580e-03, -3.4197913413e-04
-26.000	0.000	-741.500	1.1438177071e-04, -4.9204076180e-03, -3.4317133764e-04
-24.000	0.000	-741.500	1.1318123954e-04, -4.9721483279e-03, -3.4544096730e-04
-22.000	0.000	-741.500	1.1230643388e-04, -5.0210513865e-03, -3.4710894147e-04
-20.000	0.000	-741.500	1.1018456483e-04, -5.0664352373e-03, -3.4891020547e-04
-18.000	0.000	-741.500	1.0833630521e-04, -5.1071150497e-03, -3.5104654530e-04
-16.000	0.000	-741.500	1.0796590877e-04, -5.1461308989e-03, -3.5264417206e-04
-14.000	0.000	-741.500	1.0696081291e-04, -5.1809961259e-03, -3.5367346577e-04
-12.000	0.000	-741.500	1.0670767765e-04, -5.2112761688e-03, -3.5511743897e-04
-10.000	0.000	-741.500	1.0547736586e-04, -5.2387018464e-03, -3.5692610796e-04
-8.000	0.000	-741.500	1.0418563155e-04, -5.2619100461e-03, -3.5767216078e-04
-6.000	0.000	-741.500	1.0456161185e-04, -5.2812294749e-03, -3.5929570500e-04
-4.000	0.000	-741.500	1.0386548990e-04, -5.2961308588e-03, -3.6015653517e-04
-2.000	0.000	-741.500	1.0313214218e-04, -5.3070933300e-03, -3.6070820698e-04
0.000	0.000	-741.500	1.0304093903e-04, -5.3147278750e-03, -3.6109141526e-04
2.000	0.000	-741.500	1.0256258785e-04, -5.3179053760e-03, -3.6120989511e-04
4.000	0.000	-741.500	1.0096187962e-04, -5.3178552342e-03, -3.6140612736e-04
6.000	0.000	-741.500	1.0131552447e-04, -5.3125290666e-03, -3.6051567722e-04
8.000	0.000	-741.500	9.9162013511e-05, -5.3047663816e-03, -3.6000473286e-04
10.000	0.000	-741.500	9.8391440014e-05, -5.2924723685e-03, -3.6067118203e-04
12.000	0.000	-741.500	9.7663676157e-05, -5.2763044412e-03, -3.6034721368e-04
14.000	0.000	-741.500	9.5627426386e-05, -5.2564798808e-03, -3.5964373956e-04
16.000	0.000	-741.500	9.3319428474e-05, -5.2342188029e-03, -3.5823864257e-04
18.000	0.000	-741.500	9.1737333131e-05, -5.2070141204e-03, -3.5639479987e-04
20.000	0.000	-741.500	8.7999865545e-05, -5.1769940717e-03, -3.5364569705e-04
22.000	0.000	-741.500	8.6131131752e-05, -5.1430536814e-03, -3.5192403671e-04
24.000	0.000	-741.500	8.2991137818e-05, -5.1063554951e-03, -3.4900276785e-04
26.000	0.000	-741.500	7.8585467611e-05, -5.0674120728e-03, -3.4705155279e-04
28.000	0.000	-741.500	7.4339868226e-05, -5.0250032988e-03, -3.4543726481e-04
30.000	0.000	-741.500	6.9301359881e-05, -4.9786518980e-03, -3.4279923685e-04
32.000	0.000	-741.500	6.3942709891e-05, -4.9312140926e-03, -3.3966137202e-04
34.000	0.000	-741.500	5.7902828259e-05, -4.8800620839e-03, -3.3629024998e-04
36.000	0.000	-741.500	5.2078856108e-05, -4.8267651228e-03, -3.3190464421e-04
38.000	0.000	-741.500	4.5082272116e-05, -4.7712210686e-03, -3.2829656247e-04
40.000	0.000	-741.500	3.7732043282e-05, -4.7131197854e-03, -3.2454778590e-04
42.000	0.000	-741.500	2.9263179976e-05, -4.6534325374e-03, -3.2179312934e-04
44.000	0.000	-741.500	2.0187536574e-05, -4.5921871810e-03, -3.1862379330e-04
46.000	0.000	-741.500	1.0678212920e-05, -4.5280614600e-03, -3.1412341017e-04
48.000	0.000	-741.500	3.6667386181e-07, -4.4632281832e-03, -3.0995254913e-04
50.000	0.000	-741.500	-1.1119338327e-05, -4.3968367981e-03, -3.0589831669e-04
-50.000	0.000	-739.500	1.4004707975e-04, -4.3553677176e-03, -3.3694374042e-04
-48.000	0.000	-739.500	1.3776886245e-04, -4.4427332091e-03, -3.3993350543e-04
-46.000	0.000	-739.500	1.3711741143e-04, -4.5288080149e-03, -3.4137932988e-04
-44.000	0.000	-739.500	1.3345625668e-04, -4.6137221321e-03, -3.4487448551e-04
-42.000	0.000	-739.500	1.3096399119e-04, -4.6961514474e-03, -3.4788461425e-04
-40.000	0.000	-739.500	1.3009104682e-04, -4.7773383616e-03, -3.4937486864e-04
-38.000	0.000	-739.500	1.2836377096e-04, -4.8545529352e-03, -3.5179444937e-04
-36.000	0.000	-739.500	1.2613766975e-04, -4.9288741445e-03, -3.5514150519e-04
-34.000	0.000	-739.500	1.2371613323e-04, -5.0012268260e-03, -3.5727229128e-04
-32.000	0.000	-739.500	1.2191440583e-04, -5.0702998659e-03, -3.5906429904e-04
-30.000	0.000	-739.500	1.2073807141e-04, -5.1372558100e-03, -3.6241875985e-04
-28.000	0.000	-739.500	1.1973669812e-04, -5.2006962605e-03, -3.6500310162e-04
-26.000	0.000	-739.500	1.1883583442e-04, -5.2600678012e-03, -3.6633785120e-04
-24.000	0.000	-739.500	1.1785121273e-04, -5.3162061279e-03, -3.6862414210e-04
-22.000	0.000	-739.500	1.1704527475e-04, -5.3688178186e-03, -3.7096967292e-04
-20.000	0.000	-739.500	1.1571445337e-04, -5.4173550281e-03, -3.7307083904e-04
-18.000	0.000	-739.500	1.1389225180e-04, -5.4615076206e-03, -3.7557927966e-04
-16.000	0.000	-739.500	1.1412677417e-04, -5.5031902678e-03, -3.7718246016e-04
