nMed	DataHora	Tensao
1	14/03/2017 16:59:01	9.904151
2	14/03/2017 16:59:02	9.902969
3	14/03/2017 16:59:04	9.904735
4	14/03/2017 16:59:05	9.903850
5	14/03/2017 16:59:07	9.902552
6	14/03/2017 16:59:08	9.903570
7	14/03/2017 16:59:10	9.905953
8	14/03/2017 16:59:11	9.906295
9	14/03/2017 16:59:13	9.904690
10	14/03/2017 16:59:14	9.912607
11	14/03/2017 16:59:16	9.903749
12	14/03/2017 16:59:17	9.904580
13	14/03/2017 16:59:19	9.906536
14	14/03/2017 16:59:20	9.906178
15	14/03/2017 16:59:21	9.905840
16	14/03/2017 16:59:23	9.909987
17	14/03/2017 16:59:24	9.903413
18	14/03/2017 16:59:26	9.901132
19	14/03/2017 16:59:27	9.902889
20	14/03/2017 16:59:29	9.905719
21	14/03/2017 16:59:30	9.907023
22	14/03/2017 16:59:32	9.903198
23	14/03/2017 16:59:33	9.903689
24	14/03/2017 16:59:35	9.904828
25	14/03/2017 16:59:36	9.905811
26	14/03/2017 16:59:38	9.906364
27	14/03/2017 16:59:39	9.905567
28	14/03/2017 16:59:41	9.904123
29	14/03/2017 16:59:42	9.904655
30	14/03/2017 16:59:44	9.905063
31	14/03/2017 16:59:45	9.905400
32	14/03/2017 16:59:47	9.903906
33	14/03/2017 16:59:48	9.904168
34	14/03/2017 16:59:50	9.902959
35	14/03/2017 16:59:52	9.903968
36	14/03/2017 16:59:53	9.903761
37	14/03/2017 16:59:55	9.905498
38	14/03/2017 16:59:56	9.905264
39	14/03/2017 16:59:58	9.911056
40	14/03/2017 16:59:59	9.903414
41	14/03/2017 17:00:01	9.904491
42	14/03/2017 17:00:02	9.906830
43	14/03/2017 17:00:04	9.906798
44	14/03/2017 17:00:05	9.906236
45	14/03/2017 17:00:07	9.911453
46	14/03/2017 17:00:08	9.903852
47	14/03/2017 17:00:10	9.902341
48	14/03/2017 17:00:11	9.903712
49	14/03/2017 17:00:13	9.902089
50	14/03/2017 17:00:14	9.904146
51	14/03/2017 17:00:16	9.903101
52	14/03/2017 17:00:17	9.903645
53	14/03/2017 17:00:19	9.904607
54	14/03/2017 17:00:20	9.905255
55	14/03/2017 17:00:22	9.905847
56	14/03/2017 17:00:23	9.907525
57	14/03/2017 17:00:25	9.903852
58	14/03/2017 17:00:26	9.904626
59	14/03/2017 17:00:28	9.905424
60	14/03/2017 17:00:29	9.906345
61	14/03/2017 17:00:31	9.905144
62	14/03/2017 17:00:32	9.904939
63	14/03/2017 17:00:34	9.903337
64	14/03/2017 17:00:35	9.904176
65	14/03/2017 17:00:37	9.902790
66	14/03/2017 17:00:38	9.903550
67	14/03/2017 17:00:40	9.903913
68	14/03/2017 17:00:41	9.908968
69	14/03/2017 17:00:43	9.903254
70	14/03/2017 17:00:44	9.904303
71	14/03/2017 17:00:46	9.906757
72	14/03/2017 17:00:47	9.906578
73	14/03/2017 17:00:49	9.905959
74	14/03/2017 17:00:50	9.913310
75	14/03/2017 17:00:52	9.904151
76	14/03/2017 17:00:54	9.903927
77	14/03/2017 17:00:55	9.904921
78	14/03/2017 17:00:57	9.903311
79	14/03/2017 17:00:58	9.904014
80	14/03/2017 17:01:00	9.902988
81	14/03/2017 17:01:01	9.903283
82	14/03/2017 17:01:03	9.903760
83	14/03/2017 17:01:04	9.905286
84	14/03/2017 17:01:06	9.905964
85	14/03/2017 17:01:07	9.907362
86	14/03/2017 17:01:09	9.903790
87	14/03/2017 17:01:10	9.904643
88	14/03/2017 17:01:12	9.905553
89	14/03/2017 17:01:13	9.906393
90	14/03/2017 17:01:15	9.905038
91	14/03/2017 17:01:16	9.904672
92	14/03/2017 17:01:18	9.903120
93	14/03/2017 17:01:19	9.904064
94	14/03/2017 17:01:21	9.903619
95	14/03/2017 17:01:22	9.905830
96	14/03/2017 17:01:24	9.906442
97	14/03/2017 17:01:25	9.910694
98	14/03/2017 17:01:27	9.903473
99	14/03/2017 17:01:28	9.904446
100	14/03/2017 17:01:30	9.906937
101	14/03/2017 17:01:31	9.906804
102	14/03/2017 17:01:33	9.906223
103	14/03/2017 17:01:34	9.912755
104	14/03/2017 17:01:36	9.904240
105	14/03/2017 17:01:37	9.904131
106	14/03/2017 17:01:39	9.905416
107	14/03/2017 17:01:40	9.904231
108	14/03/2017 17:01:42	9.904756
109	14/03/2017 17:01:43	9.903172
110	14/03/2017 17:01:45	9.903237
111	14/03/2017 17:01:46	9.902737
112	14/03/2017 17:01:48	9.904993
113	14/03/2017 17:01:49	9.905781
114	14/03/2017 17:01:51	9.907581
115	14/03/2017 17:01:53	9.903620
116	14/03/2017 17:01:54	9.904393
117	14/03/2017 17:01:56	9.905487
118	14/03/2017 17:01:57	9.906874
119	14/03/2017 17:01:59	9.906535
120	14/03/2017 17:02:00	9.905840
121	14/03/2017 17:02:02	9.904020
122	14/03/2017 17:02:03	9.904627
123	14/03/2017 17:02:05	9.903566
124	14/03/2017 17:02:06	9.902743
125	14/03/2017 17:02:08	9.903138
126	14/03/2017 17:02:09	9.904542
127	14/03/2017 17:02:11	9.903301
128	14/03/2017 17:02:12	9.904345
129	14/03/2017 17:02:14	9.906737
130	14/03/2017 17:02:15	9.906443
131	14/03/2017 17:02:17	9.905597
132	14/03/2017 17:02:18	9.911584
133	14/03/2017 17:02:20	9.904244
134	14/03/2017 17:02:21	9.904963
135	14/03/2017 17:02:23	9.907018
136	14/03/2017 17:02:24	9.906474
137	14/03/2017 17:02:26	9.906130
138	14/03/2017 17:02:27	9.903549
139	14/03/2017 17:02:29	9.903428
140	14/03/2017 17:02:30	9.901660
141	14/03/2017 17:02:32	9.904661
142	14/03/2017 17:02:33	9.905969
