nMed	DataHora	Tensao
182	14/03/2017 19:18:18	9.907847
183	14/03/2017 19:18:19	9.906867
184	14/03/2017 19:18:21	9.906057
185	14/03/2017 19:18:22	9.904138
186	14/03/2017 19:18:24	9.904915
187	14/03/2017 19:18:25	9.904405
188	14/03/2017 19:18:27	9.905808
189	14/03/2017 19:18:29	9.905637
190	14/03/2017 19:18:30	9.913158
191	14/03/2017 19:18:32	9.904616
192	14/03/2017 19:18:33	9.905554
193	14/03/2017 19:18:35	9.907813
194	14/03/2017 19:18:36	9.907192
195	14/03/2017 19:18:38	9.906454
196	14/03/2017 19:18:39	9.904050
197	14/03/2017 19:18:41	9.903950
198	14/03/2017 19:18:42	9.902549
199	14/03/2017 19:18:44	9.905704
200	14/03/2017 19:18:45	9.906515
201	14/03/2017 19:18:47	9.905918
202	14/03/2017 19:18:48	9.904643
203	14/03/2017 19:18:50	9.905262
204	14/03/2017 19:18:51	9.906179
205	14/03/2017 19:18:53	9.906858
206	14/03/2017 19:18:54	9.904364
207	14/03/2017 19:18:56	9.904029
208	14/03/2017 19:18:57	9.903617
209	14/03/2017 19:18:59	9.904824
210	14/03/2017 19:19:01	9.907377
211	14/03/2017 19:19:02	9.907019
212	14/03/2017 19:19:04	9.906346
213	14/03/2017 19:19:05	9.911699
214	14/03/2017 19:19:07	9.904827
215	14/03/2017 19:19:08	9.904739
216	14/03/2017 19:19:10	9.906023
217	14/03/2017 19:19:11	9.904154
218	14/03/2017 19:19:13	9.904438
219	14/03/2017 19:19:14	9.903717
220	14/03/2017 19:19:16	9.904357
221	14/03/2017 19:19:17	9.905513
222	14/03/2017 19:19:19	9.906292
223	14/03/2017 19:19:20	9.907337
224	14/03/2017 19:19:22	9.906520
225	14/03/2017 19:19:23	9.904700
226	14/03/2017 19:19:25	9.905377
227	14/03/2017 19:19:26	9.905048
228	14/03/2017 19:19:28	9.904103
229	14/03/2017 19:19:29	9.903007
230	14/03/2017 19:19:31	9.904298
231	14/03/2017 19:19:32	9.903880
232	14/03/2017 19:19:34	9.904916
233	14/03/2017 19:19:36	9.907652
234	14/03/2017 19:19:37	9.907529
235	14/03/2017 19:19:39	9.906903
236	14/03/2017 19:19:40	9.908178
237	14/03/2017 19:19:42	9.904657
238	14/03/2017 19:19:43	9.903847
239	14/03/2017 19:19:45	9.904885
240	14/03/2017 19:19:46	9.902798
241	14/03/2017 19:19:48	9.904983
242	14/03/2017 19:19:49	9.903968
243	14/03/2017 19:19:51	9.904491
244	14/03/2017 19:19:52	9.905761
245	14/03/2017 19:19:54	9.906972
246	14/03/2017 19:19:55	9.907518
247	14/03/2017 19:19:57	9.906520
248	14/03/2017 19:19:58	9.904535
249	14/03/2017 19:20:00	9.905081
250	14/03/2017 19:20:01	9.903496
251	14/03/2017 19:20:03	9.903105
252	14/03/2017 19:20:04	9.905682
253	14/03/2017 19:20:06	9.909334
254	14/03/2017 19:20:08	9.904078
255	14/03/2017 19:20:09	9.905107
256	14/03/2017 19:20:11	9.907853
257	14/03/2017 19:20:12	9.907831
258	14/03/2017 19:20:14	9.907153
259	14/03/2017 19:20:15	9.904612
260	14/03/2017 19:20:17	9.904332
261	14/03/2017 19:20:18	9.901743
262	14/03/2017 19:20:20	9.903492
263	14/03/2017 19:20:21	9.904887
264	14/03/2017 19:20:23	9.906155
265	14/03/2017 19:20:24	9.904120
266	14/03/2017 19:20:26	9.904792
267	14/03/2017 19:20:27	9.906131
268	14/03/2017 19:20:29	9.907802
269	14/03/2017 19:20:30	9.907216
270	14/03/2017 19:20:32	9.906307
271	14/03/2017 19:20:33	9.904329
272	14/03/2017 19:20:35	9.905066
273	14/03/2017 19:20:36	9.903336
