X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	2.6681014248e-04, -4.6100339282e-03, 1.6050317454e-05
-48.000	0.000	-741.500	2.5517708849e-04, -4.6957094572e-03, 2.0002731267e-05
-46.000	0.000	-741.500	2.4405030501e-04, -4.7809504243e-03, 2.4247642215e-05
-44.000	0.000	-741.500	2.3191470308e-04, -4.8654002662e-03, 2.8274105936e-05
-42.000	0.000	-741.500	2.1923932745e-04, -4.9478481524e-03, 3.1584136802e-05
-40.000	0.000	-741.500	2.0674821940e-04, -5.0259875627e-03, 3.5218136013e-05
-38.000	0.000	-741.500	1.9439112413e-04, -5.1030108550e-03, 3.8757721593e-05
-36.000	0.000	-741.500	1.8248632200e-04, -5.1768287897e-03, 4.1799321544e-05
-34.000	0.000	-741.500	1.7007152678e-04, -5.2479520699e-03, 4.3689445433e-05
-32.000	0.000	-741.500	1.5844591794e-04, -5.3171235362e-03, 4.6434845754e-05
-30.000	0.000	-741.500	1.4621725158e-04, -5.3838343428e-03, 4.7573363082e-05
-28.000	0.000	-741.500	1.3287367333e-04, -5.4464910964e-03, 4.9583818071e-05
-26.000	0.000	-741.500	1.2089814223e-04, -5.5062136293e-03, 5.0600153052e-05
-24.000	0.000	-741.500	1.0847404057e-04, -5.5621736743e-03, 5.1849745241e-05
-22.000	0.000	-741.500	9.6630660962e-05, -5.6156173465e-03, 5.2373648337e-05
-20.000	0.000	-741.500	8.4109772290e-05, -5.6645816894e-03, 5.2893848937e-05
-18.000	0.000	-741.500	7.1953696192e-05, -5.7107789508e-03, 5.3469586968e-05
-16.000	0.000	-741.500	6.0547719414e-05, -5.7536390005e-03, 5.3721356653e-05
-14.000	0.000	-741.500	4.9841587165e-05, -5.7911171695e-03, 5.3502909426e-05
-12.000	0.000	-741.500	3.8612432808e-05, -5.8253565532e-03, 5.3504760674e-05
-10.000	0.000	-741.500	2.8578225757e-05, -5.8551444642e-03, 5.3191899815e-05
-8.000	0.000	-741.500	1.6943310477e-05, -5.8808690367e-03, 5.2817947782e-05
-6.000	0.000	-741.500	7.7317930048e-06, -5.9022628481e-03, 5.0418730778e-05
-4.000	0.000	-741.500	-2.9222231626e-06, -5.9205367286e-03, 4.9531983136e-05
-2.000	0.000	-741.500	-1.2733075577e-05, -5.9345355611e-03, 4.8132439884e-05
0.000	0.000	-741.500	-2.2156779954e-05, -5.9441850614e-03, 4.5810975283e-05
2.000	0.000	-741.500	-3.1552565002e-05, -5.9497507951e-03, 4.4324423390e-05
4.000	0.000	-741.500	-4.0432773097e-05, -5.9504193518e-03, 4.1897437671e-05
6.000	0.000	-741.500	-4.9015175009e-05, -5.9472232798e-03, 4.0497894419e-05
8.000	0.000	-741.500	-5.6759997035e-05, -5.9399638693e-03, 3.6632489247e-05
