# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +9.1476323485342608e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +1.1396079963189908e-02 -1.0328211426872476e+00 -5.9097038019430378e-02
-1.0000000000000001e-01 +9.1476318316365202e+00 +0.0000000000000000e+00 -9.9999999998218805e-02 +1.1395969350641071e-02 -1.0328160317861306e+00 -5.9096826684712125e-02
-2.0000000000000001e-01 +9.1476302809427192e+00 +0.0000000000000000e+00 -1.9999999998574999e-01 +1.1395858471846054e-02 -1.0328109701477093e+00 -5.9096626595615674e-02
-2.9999999999999999e-01 +9.1476276964536503e+00 +0.0000000000000000e+00 -2.9999999995190701e-01 +1.1395747179500171e-02 -1.0328059763281250e+00 -5.9096437175524826e-02
-4.0000000000000002e-01 +9.1476240781675404e+00 +0.0000000000000000e+00 -3.9999999988600199e-01 +1.1395635326280155e-02 -1.0328010688836253e+00 -5.9096257847832928e-02
-5.0000000000000000e-01 +9.1476194260861501e+00 +0.0000000000000000e+00 -4.9999999977734699e-01 +1.1395522764856452e-02 -1.0327962663705832e+00 -5.9096088035955292e-02
-5.9999999999999998e-01 +9.1476137402094899e+00 +0.0000000000000000e+00 -5.9999999961525596e-01 +1.1395409347905736e-02 -1.0327915873455340e+00 -5.9095927163342853e-02
-6.9999999999999996e-01 +9.1476070205357907e+00 +0.0000000000000000e+00 -6.9999999938904001e-01 +1.1395294928123351e-02 -1.0327870503652061e+00 -5.9095774653495123e-02
-8.0000000000000004e-01 +9.1475992670650292e+00 +0.0000000000000000e+00 -7.9999999908801400e-01 +1.1395179358235620e-02 -1.0327826739865407e+00 -5.9095629929972818e-02
-9.0000000000000002e-01 +9.1475904798007797e+00 +0.0000000000000000e+00 -8.9999999870148795e-01 +1.1395062491012227e-02 -1.0327784767667141e+00 -5.9095492416410683e-02
-1.0000000000000000e+00 +9.1475806587394892e+00 +0.0000000000000000e+00 -9.9999999821877705e-01 +1.1394944179278877e-02 -1.0327744772631948e+00 -5.9095361536531707e-02
-1.1000000000000001e+00 +9.1475698038829201e+00 +0.0000000000000000e+00 -1.0999999976291901e+00 +1.1394824275929430e-02 -1.0327706940337384e+00 -5.9095236714158755e-02
-1.2000000000000000e+00 +9.1475579152292994e+00 +0.0000000000000000e+00 -1.1999999969220501e+00 +1.1394702633938511e-02 -1.0327671456364416e+00 -5.9095117373228562e-02
-1.3000000000000000e+00 +9.1475449927804107e+00 +0.0000000000000000e+00 -1.2999999960866500e+00 +1.1394579106373769e-02 -1.0327638506297498e+00 -5.9095002937804016e-02
-1.3999999999999999e+00 +9.1475310365362503e+00 +0.0000000000000000e+00 -1.3999999951123201e+00 +1.1394453546408417e-02 -1.0327608275724998e+00 -5.9094892832087673e-02
-1.5000000000000000e+00 +9.1475160464950402e+00 +0.0000000000000000e+00 -1.4999999939883699e+00 +1.1394325807333633e-02 -1.0327580950239488e+00 -5.9094786480434862e-02
-1.6000000000000001e+00 +9.1475000226585603e+00 +0.0000000000000000e+00 -1.5999999927041100e+00 +1.1394195815101382e-02 -1.0327556669872713e+00 -5.9094683711668816e-02
-1.7000000000000000e+00 +9.1474829650268106e+00 +0.0000000000000000e+00 -1.6999999912488499e+00 +1.1394063785879959e-02 -1.0327535392398772e+00 -5.9094585971914242e-02
-1.8000000000000000e+00 +9.1474648735980093e+00 +0.0000000000000000e+00 -1.7999999896119101e+00 +1.1393930008379939e-02 -1.0327517030026290e+00 -5.9094495111528041e-02
-1.8999999999999999e+00 +9.1474457483739400e+00 +0.0000000000000000e+00 -1.8999999877825899e+00 +1.1393794771302857e-02 -1.0327501494962603e+00 -5.9094412980748259e-02
-2.0000000000000000e+00 +9.1474255893528191e+00 +0.0000000000000000e+00 -1.9999999857502100e+00 +1.1393658363331666e-02 -1.0327488699413339e+00 -5.9094341429667560e-02
-2.1000000000000001e+00 +9.1474043965364302e+00 +0.0000000000000000e+00 -2.0999999835040901e+00 +1.1393521073120968e-02 -1.0327478555581759e+00 -5.9094282308204973e-02
-2.2000000000000002e+00 +9.1473821699247697e+00 +0.0000000000000000e+00 -2.1999999810335300e+00 +1.1393383189287442e-02 -1.0327470975668318e+00 -5.9094237466079211e-02
-2.2999999999999998e+00 +9.1473589095160595e+00 +0.0000000000000000e+00 -2.2999999783278602e+00 +1.1393245000400195e-02 -1.0327465871870147e+00 -5.9094208752781305e-02
-2.3999999999999999e+00 +9.1473346153120794e+00 +0.0000000000000000e+00 -2.3999999753763701e+00 +1.1393106794970995e-02 -1.0327463156380392e+00 -5.9094198017546513e-02
-2.5000000000000000e+00 +9.1473092873128206e+00 +0.0000000000000000e+00 -2.4999999721683901e+00 +1.1392968861444721e-02 -1.0327462741387827e+00 -5.9094207109327723e-02
-2.6000000000000001e+00 +9.1472829255165191e+00 +0.0000000000000000e+00 -2.5999999686932198e+00 +1.1392831488189698e-02 -1.0327464539076281e+00 -5.9094237876767992e-02
-2.7000000000000002e+00 +9.1472555299249496e+00 +0.0000000000000000e+00 -2.6999999649401798e+00 +1.1392694963487939e-02 -1.0327468461624008e+00 -5.9094292168172531e-02
-2.7999999999999998e+00 +9.1472271005398795e+00 +0.0000000000000000e+00 -2.7999999608985902e+00 +1.1392559575525537e-02 -1.0327474421203233e+00 -5.9094371831481779e-02
-2.8999999999999999e+00 +9.1471976373559905e+00 +0.0000000000000000e+00 -2.8999999565577501e+00 +1.1392425612383189e-02 -1.0327482329979794e+00 -5.9094478714244905e-02
-3.0000000000000000e+00 +9.1471671403768209e+00 +0.0000000000000000e+00 -2.9999999519069700e+00 +1.1392293362026160e-02 -1.0327492100112221e+00 -5.9094614663590492e-02
-3.1000000000000001e+00 +9.1471356096023904e+00 +0.0000000000000000e+00 -3.0999999469355801e+00 +1.1392163112294906e-02 -1.0327503643751499e+00 -5.9094781526200652e-02
