nMed	DataHora	Tensao
1	15/03/2017 15:08:01	9.904125
2	15/03/2017 15:08:03	9.906722
3	15/03/2017 15:08:04	9.905112
4	15/03/2017 15:08:06	9.903052
5	15/03/2017 15:08:07	9.904227
6	15/03/2017 15:08:09	9.906799
7	15/03/2017 15:08:10	9.907156
8	15/03/2017 15:08:12	9.906219
9	15/03/2017 15:08:13	9.911447
10	15/03/2017 15:08:15	9.903805
11	15/03/2017 15:08:16	9.903096
12	15/03/2017 15:08:18	9.904637
13	15/03/2017 15:08:19	9.905962
14	15/03/2017 15:08:21	9.903351
15	15/03/2017 15:08:22	9.903060
16	15/03/2017 15:08:24	9.903809
17	15/03/2017 15:08:26	9.905142
18	15/03/2017 15:08:27	9.906800
19	15/03/2017 15:08:29	9.907004
20	15/03/2017 15:08:30	9.905686
21	15/03/2017 15:08:32	9.904022
22	15/03/2017 15:08:33	9.904542
23	15/03/2017 15:08:35	9.905125
24	15/03/2017 15:08:36	9.904093
25	15/03/2017 15:08:38	9.904916
26	15/03/2017 15:08:39	9.902772
27	15/03/2017 15:08:41	9.902820
28	15/03/2017 15:08:42	9.904029
29	15/03/2017 15:08:44	9.906742
30	15/03/2017 15:08:45	9.906738
31	15/03/2017 15:08:47	9.906128
32	15/03/2017 15:08:48	9.913383
33	15/03/2017 15:08:50	9.904173
34	15/03/2017 15:08:51	9.904709
35	15/03/2017 15:08:53	9.905715
36	15/03/2017 15:08:54	9.904108
37	15/03/2017 15:08:56	9.903735
38	15/03/2017 15:08:57	9.902733
39	15/03/2017 15:08:59	9.903148
40	15/03/2017 15:09:00	9.903854
41	15/03/2017 15:09:02	9.905713
42	15/03/2017 15:09:04	9.906808
43	15/03/2017 15:09:05	9.905788
44	15/03/2017 15:09:07	9.904080
45	15/03/2017 15:09:08	9.904486
46	15/03/2017 15:09:10	9.904525
47	15/03/2017 15:09:11	9.903702
48	15/03/2017 15:09:13	9.905102
49	15/03/2017 15:09:14	9.902893
50	15/03/2017 15:09:16	9.902969
51	15/03/2017 15:09:17	9.904260
52	15/03/2017 15:09:19	9.906865
53	15/03/2017 15:09:20	9.906999
54	15/03/2017 15:09:22	9.906441
55	15/03/2017 15:09:23	9.904176
56	15/03/2017 15:09:25	9.904196
57	15/03/2017 15:09:26	9.904317
58	15/03/2017 15:09:28	9.905018
59	15/03/2017 15:09:29	9.903965
60	15/03/2017 15:09:31	9.903789
61	15/03/2017 15:09:32	9.902797
62	15/03/2017 15:09:34	9.903492
63	15/03/2017 15:09:36	9.904843
64	15/03/2017 15:09:37	9.906334
65	15/03/2017 15:09:39	9.907028
66	15/03/2017 15:09:40	9.905919
67	15/03/2017 15:09:42	9.904200
68	15/03/2017 15:09:43	9.904710
69	15/03/2017 15:09:45	9.905397
70	15/03/2017 15:09:46	9.904606
71	15/03/2017 15:09:48	9.903671
72	15/03/2017 15:09:49	9.903031
73	15/03/2017 15:09:51	9.902884
74	15/03/2017 15:09:52	9.904024
75	15/03/2017 15:09:54	9.906226
76	15/03/2017 15:09:55	9.906596
77	15/03/2017 15:09:57	9.906009
78	15/03/2017 15:09:58	9.912227
79	15/03/2017 15:10:00	9.904286
80	15/03/2017 15:10:01	9.904936
81	15/03/2017 15:10:03	9.906578
82	15/03/2017 15:10:04	9.905271
83	15/03/2017 15:10:06	9.904143
84	15/03/2017 15:10:08	9.902940
85	15/03/2017 15:10:09	9.903074
86	15/03/2017 15:10:11	9.902991
87	15/03/2017 15:10:12	9.905374
88	15/03/2017 15:10:14	9.906460
89	15/03/2017 15:10:15	9.905844
90	15/03/2017 15:10:17	9.904219
91	15/03/2017 15:10:18	9.904774
92	15/03/2017 15:10:20	9.905954
93	15/03/2017 15:10:21	9.906242
94	15/03/2017 15:10:23	9.904862
95	15/03/2017 15:10:24	9.903858
96	15/03/2017 15:10:26	9.903125
97	15/03/2017 15:10:27	9.904056
98	15/03/2017 15:10:29	9.903349
