X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
38.000	0.000	-741.500	-3.9397710485e-04, -4.7069653504e-03, 1.6059388567e-04
40.000	0.000	-741.500	-3.9871222314e-04, -4.6505131735e-03, 1.5205778258e-04
42.000	0.000	-741.500	-4.0455853076e-04, -4.5920256132e-03, 1.4384194534e-04
44.000	0.000	-741.500	-4.1030432878e-04, -4.5330589206e-03, 1.3580012539e-04
46.000	0.000	-741.500	-4.1605943326e-04, -4.4713938593e-03, 1.2797119892e-04
48.000	0.000	-741.500	-4.2243806942e-04, -4.4086591074e-03, 1.1890563899e-04
50.000	0.000	-741.500	-4.2933414383e-04, -4.3441211098e-03, 1.1118223364e-04
-50.000	0.000	-739.500	2.3240794457e-04, -4.2847811398e-03, 3.0384898550e-04
-48.000	0.000	-739.500	2.1045962895e-04, -4.3687332784e-03, 3.1003030153e-04
-46.000	0.000	-739.500	1.8779099462e-04, -4.4524625648e-03, 3.1611905517e-04
-44.000	0.000	-739.500	1.6489900565e-04, -4.5358334305e-03, 3.2066016575e-04
-42.000	0.000	-739.500	1.4371567965e-04, -4.6160323666e-03, 3.2530124371e-04
-40.000	0.000	-739.500	1.2106565821e-04, -4.6929479470e-03, 3.3039402610e-04
-38.000	0.000	-739.500	9.9340697220e-05, -4.7682924193e-03, 3.3453341593e-04
-36.000	0.000	-739.500	7.6806075672e-05, -4.8413303713e-03, 3.3796562914e-04
-34.000	0.000	-739.500	5.5203959733e-05, -4.9117535241e-03, 3.4044444979e-04
-32.000	0.000	-739.500	3.3441772970e-05, -4.9784179032e-03, 3.4347864475e-04
-30.000	0.000	-739.500	1.1940166617e-05, -5.0432028953e-03, 3.4517068514e-04
-28.000	0.000	-739.500	-9.5353816956e-06, -5.1052263773e-03, 3.4612963144e-04
-26.000	0.000	-739.500	-3.0722430269e-05, -5.1634706573e-03, 3.4724778505e-04
-24.000	0.000	-739.500	-5.1339924519e-05, -5.2178057383e-03, 3.4739958736e-04
-22.000	0.000	-739.500	-7.2067234798e-05, -5.2691248861e-03, 3.4625181379e-04
-20.000	0.000	-739.500	-9.1793171790e-05, -5.3164456941e-03, 3.4580010935e-04
-18.000	0.000	-739.500	-1.1057543544e-04, -5.3600987262e-03, 3.4417841638e-04
-16.000	0.000	-739.500	-1.2956802471e-04, -5.4007692530e-03, 3.4167738075e-04
-14.000	0.000	-739.500	-1.4691709611e-04, -5.4370644483e-03, 3.3892642669e-04
-12.000	0.000	-739.500	-1.6426244493e-04, -5.4697791515e-03, 3.3556456089e-04
