X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	2.2586551501e-04, -4.0179861981e-03, 2.9930602367e-04
-48.000	0.000	-741.500	2.0568170101e-04, -4.0967458804e-03, 3.0572985315e-04
-46.000	0.000	-741.500	1.8454490723e-04, -4.1751118571e-03, 3.1138541484e-04
-44.000	0.000	-741.500	1.6246444011e-04, -4.2509577469e-03, 3.1669849570e-04
-42.000	0.000	-741.500	1.4073389525e-04, -4.3257358032e-03, 3.2072866192e-04
-40.000	0.000	-741.500	1.1985954317e-04, -4.3969742236e-03, 3.2547896348e-04
-38.000	0.000	-741.500	9.8771142897e-05, -4.4668346747e-03, 3.2916479763e-04
-36.000	0.000	-741.500	7.6891694950e-05, -4.5336346221e-03, 3.3265069703e-04
-34.000	0.000	-741.500	5.5030859889e-05, -4.5979386250e-03, 3.3492032669e-04
-32.000	0.000	-741.500	3.4450591412e-05, -4.6622426278e-03, 3.3702149282e-04
-30.000	0.000	-741.500	1.2159798676e-05, -4.7221118718e-03, 3.3902084032e-04
-28.000	0.000	-741.500	-6.4381974010e-06, -4.7777394955e-03, 3.3986130677e-04
-26.000	0.000	-741.500	-2.8023561743e-05, -4.8316697283e-03, 3.4105906403e-04
-24.000	0.000	-741.500	-4.8374891718e-05, -4.8821234668e-03, 3.4136081740e-04
-22.000	0.000	-741.500	-6.7769519332e-05, -4.9296541272e-03, 3.4188842299e-04
-20.000	0.000	-741.500	-8.7175314678e-05, -4.9732904454e-03, 3.4040372234e-04
-18.000	0.000	-741.500	-1.0548108844e-04, -5.0137176919e-03, 3.3946884226e-04
-16.000	0.000	-741.500	-1.2302001128e-04, -5.0525255458e-03, 3.3746394102e-04
-14.000	0.000	-741.500	-1.4103356272e-04, -5.0861353720e-03, 3.3461116833e-04
-12.000	0.000	-741.500	-1.5665163569e-04, -5.1161312783e-03, 3.3101234282e-04
-10.000	0.000	-741.500	-1.7341067859e-04, -5.1416812833e-03, 3.2816512388e-04
-8.000	0.000	-741.500	-1.8919812883e-04, -5.1646072035e-03, 3.2363512079e-04
-6.000	0.000	-741.500	-2.0362869964e-04, -5.1837984923e-03, 3.1946240850e-04
-4.000	0.000	-741.500	-2.1862696349e-04, -5.1987983026e-03, 3.1527673748e-04
-2.000	0.000	-741.500	-2.3077373315e-04, -5.2108100362e-03, 3.0919724007e-04
0.000	0.000	-741.500	-2.4413778557e-04, -5.2176460275e-03, 3.0420257381e-04
2.000	0.000	-741.500	-2.5727476078e-04, -5.2216555101e-03, 2.9796572035e-04
4.000	0.000	-741.500	-2.6871051818e-04, -5.2225933464e-03, 2.9221944752e-04
6.000	0.000	-741.500	-2.7947807295e-04, -5.2187621456e-03, 2.8567898944e-04
8.000	0.000	-741.500	-2.8953461547e-04, -5.2107320380e-03, 2.7956802083e-04
10.000	0.000	-741.500	-2.9965444180e-04, -5.1999088494e-03, 2.7258696580e-04
12.000	0.000	-741.500	-3.0827779206e-04, -5.1857670201e-03, 2.6501721400e-04
14.000	0.000	-741.500	-3.1661078129e-04, -5.1664141635e-03, 2.5772514936e-04
16.000	0.000	-741.500	-3.2479114486e-04, -5.1445356485e-03, 2.5064412695e-04
18.000	0.000	-741.500	-3.3313344054e-04, -5.1191713538e-03, 2.4231906610e-04
20.000	0.000	-741.500	-3.3967959268e-04, -5.0904809899e-03, 2.3420319624e-04
22.000	0.000	-741.500	-3.4706146342e-04, -5.0590086877e-03, 2.2659641949e-04
24.000	0.000	-741.500	-3.5301386449e-04, -5.0249067296e-03, 2.1790110910e-04
26.000	0.000	-741.500	-3.5900721390e-04, -4.9863941549e-03, 2.0925022865e-04
28.000	0.000	-741.500	-3.6497078270e-04, -4.9457347707e-03, 2.0098440773e-04
30.000	0.000	-741.500	-3.7044669388e-04, -4.9019053139e-03, 1.9311845630e-04
32.000	0.000	-741.500	-3.7621854995e-04, -4.8558491922e-03, 1.8485448662e-04
34.000	0.000	-741.500	-3.8075264907e-04, -4.8064298594e-03, 1.7697742771e-04
36.000	0.000	-741.500	-3.8691537575e-04, -4.7553762771e-03, 1.6908000507e-04
38.000	0.000	-741.500	-3.9315627656e-04, -4.7012733338e-03, 1.5974046049e-04
40.000	0.000	-741.500	-3.9841813954e-04, -4.6464814058e-03, 1.5172826049e-04
42.000	0.000	-741.500	-4.0417510530e-04, -4.5889075395e-03, 1.4369014303e-04
44.000	0.000	-741.500	-4.0907587828e-04, -4.5294932854e-03, 1.3579086915e-04
46.000	0.000	-741.500	-4.1566111749e-04, -4.4681495027e-03, 1.2746210580e-04
48.000	0.000	-741.500	-4.2223146638e-04, -4.4051528994e-03, 1.1983866782e-04
50.000	0.000	-741.500	-4.2799401601e-04, -4.3402824806e-03, 1.1188570776e-04
-50.000	0.000	-739.500	2.3456517810e-04, -4.2803408097e-03, 3.0769772944e-04
-48.000	0.000	-739.500	2.1335207149e-04, -4.3651657860e-03, 3.1433630365e-04
-46.000	0.000	-739.500	1.9128463339e-04, -4.4498384801e-03, 3.1995484038e-04
-44.000	0.000	-739.500	1.6852107334e-04, -4.5316958080e-03, 3.2492358918e-04
-42.000	0.000	-739.500	1.4568492303e-04, -4.6123293059e-03, 3.2913147517e-04
-40.000	0.000	-739.500	1.2375149772e-04, -4.6889626068e-03, 3.3434273741e-04
-38.000	0.000	-739.500	1.0177898534e-04, -4.7644147910e-03, 3.3752688344e-04
-36.000	0.000	-739.500	7.9253670232e-05, -4.8365483345e-03, 3.4084617054e-04
-34.000	0.000	-739.500	5.6222084618e-05, -4.9061209347e-03, 3.4325464378e-04
-32.000	0.000	-739.500	3.4737229862e-05, -4.9750305497e-03, 3.4531137996e-04
-30.000	0.000	-739.500	1.1694476516e-05, -5.0397598288e-03, 3.4739033112e-04
-28.000	0.000	-739.500	-7.8695283641e-06, -5.1000784914e-03, 3.4774762192e-04
-26.000	0.000	-739.500	-3.0400427334e-05, -5.1576560719e-03, 3.4873989068e-04
-24.000	0.000	-739.500	-5.1148211789e-05, -5.2121174358e-03, 3.4883615556e-04
-22.000	0.000	-739.500	-7.1912747841e-05, -5.2634941538e-03, 3.4893612294e-04
-20.000	0.000	-739.500	-9.1242230353e-05, -5.3106849646e-03, 3.4747733976e-04
-18.000	0.000	-739.500	-1.1005799720e-04, -5.3541987141e-03, 3.4625921878e-04
-16.000	0.000	-739.500	-1.2882909312e-04, -5.3957699353e-03, 3.4382482807e-04
-14.000	0.000	-739.500	-1.4681286395e-04, -5.4320577021e-03, 3.4055737590e-04
-12.000	0.000	-739.500	-1.6340811345e-04, -5.4641242768e-03, 3.3699927785e-04
-10.000	0.000	-739.500	-1.8017087893e-04, -5.4918415194e-03, 3.3376329689e-04
-8.000	0.000	-739.500	-1.9660419632e-04, -5.5159986981e-03, 3.2912592143e-04
-6.000	0.000	-739.500	-2.1168621816e-04, -5.5365289572e-03, 3.2441449606e-04
-4.000	0.000	-739.500	-2.2685758185e-04, -5.5526950273e-03, 3.1954386340e-04
-2.000	0.000	-739.500	-2.3941197372e-04, -5.5650818955e-03, 3.1337180361e-04
0.000	0.000	-739.500	-2.5261781661e-04, -5.5724044475e-03, 3.0757924959e-04
2.000	0.000	-739.500	-2.6579201759e-04, -5.5762746474e-03, 3.0102768402e-04
4.000	0.000	-739.500	-2.7757583597e-04, -5.5766534961e-03, 2.9519995630e-04
6.000	0.000	-739.500	-2.8841225842e-04, -5.5717841755e-03, 2.8781347803e-04
8.000	0.000	-739.500	-2.9857675567e-04, -5.5630836541e-03, 2.8144888848e-04
10.000	0.000	-739.500	-3.0814936314e-04, -5.5506856433e-03, 2.7422161750e-04
12.000	0.000	-739.500	-3.1691417134e-04, -5.5352549854e-03, 2.6597245781e-04
14.000	0.000	-739.500	-3.2519876707e-04, -5.5137404625e-03, 2.5804171271e-04
16.000	0.000	-739.500	-3.3377744641e-04, -5.4894755719e-03, 2.5108657515e-04
18.000	0.000	-739.500	-3.4183496492e-04, -5.4617249015e-03, 2.4206174267e-04
20.000	0.000	-739.500	-3.4808889475e-04, -5.4300371755e-03, 2.3352563958e-04
22.000	0.000	-739.500	-3.5536839462e-04, -5.3956213671e-03, 2.2572818432e-04
24.000	0.000	-739.500	-3.6103974110e-04, -5.3580113439e-03, 2.1660893821e-04
26.000	0.000	-739.500	-3.6660685542e-04, -5.3158272792e-03, 2.0780625545e-04
28.000	0.000	-739.500	-3.7254436617e-04, -5.2711491270e-03, 1.9903134141e-04
30.000	0.000	-739.500	-3.7815429013e-04, -5.2234476132e-03, 1.9100988518e-04
32.000	0.000	-739.500	-3.8334728543e-04, -5.1731220147e-03, 1.8238307096e-04
34.000	0.000	-739.500	-3.8813265852e-04, -5.1190710703e-03, 1.7438938344e-04
36.000	0.000	-739.500	-3.9336101831e-04, -5.0636291567e-03, 1.6589771030e-04
38.000	0.000	-739.500	-3.9988111241e-04, -5.0043281858e-03, 1.5658223193e-04
40.000	0.000	-739.500	-4.0486564338e-04, -4.9444607989e-03, 1.4834047723e-04
42.000	0.000	-739.500	-4.1056677048e-04, -4.8817576178e-03, 1.4035974844e-04
44.000	0.000	-739.500	-4.1502083419e-04, -4.8172140488e-03, 1.3202728260e-04
46.000	0.000	-739.500	-4.2195785695e-04, -4.7503212463e-03, 1.2370962674e-04
48.000	0.000	-739.500	-4.2799587729e-04, -4.6822993259e-03, 1.1613432120e-04
50.000	0.000	-739.500	-4.3383473975e-04, -4.6115400377e-03, 1.0783332657e-04
-50.000	0.000	-737.500	2.4320714125e-04, -4.5610770137e-03, 3.1560440832e-04
-48.000	0.000	-737.500	2.2096660331e-04, -4.6529311199e-03, 3.2210413895e-04
-46.000	0.000	-737.500	1.9809322723e-04, -4.7437656774e-03, 3.2795037915e-04
-44.000	0.000	-737.500	1.7434690678e-04, -4.8321451464e-03, 3.3287469800e-04
-42.000	0.000	-737.500	1.5061733793e-04, -4.9191856451e-03, 3.3730288247e-04
-40.000	0.000	-737.500	1.2710181726e-04, -5.0022668030e-03, 3.4234197867e-04
-38.000	0.000	-737.500	1.0418563155e-04, -5.0836152850e-03, 3.4569273699e-04
-36.000	0.000	-737.500	8.1208023303e-05, -5.1615986988e-03, 3.4867324577e-04
-34.000	0.000	-737.500	5.6983351671e-05, -5.2370861679e-03, 3.5080403185e-04
-32.000	0.000	-737.500	3.4701865378e-05, -5.3108892458e-03, 3.5291075172e-04
-30.000	0.000	-737.500	1.0871786938e-05, -5.3808704085e-03, 3.5485085930e-04
