nMed	DataHora	Tensao
1	14/03/2017 12:46:51	9.904608
2	14/03/2017 12:46:53	9.903102
3	14/03/2017 12:46:54	9.903740
4	14/03/2017 12:46:56	9.904016
5	14/03/2017 12:46:57	9.905193
6	14/03/2017 12:46:59	9.906730
7	14/03/2017 12:47:00	9.906883
8	14/03/2017 12:47:02	9.905919
9	14/03/2017 12:47:03	9.905147
10	14/03/2017 12:47:05	9.905125
11	14/03/2017 12:47:07	9.906002
12	14/03/2017 12:47:08	9.908624
13	14/03/2017 12:47:10	9.908694
14	14/03/2017 12:47:11	9.907736
15	14/03/2017 12:47:13	9.905175
16	14/03/2017 12:47:14	9.905208
17	14/03/2017 12:47:16	9.905433
18	14/03/2017 12:47:17	9.906816
19	14/03/2017 12:47:19	9.905541
20	14/03/2017 12:47:20	9.905424
21	14/03/2017 12:47:22	9.904423
22	14/03/2017 12:47:23	9.904446
23	14/03/2017 12:47:25	9.901846
24	14/03/2017 12:47:26	9.904518
25	14/03/2017 12:47:28	9.905390
26	14/03/2017 12:47:29	9.904929
27	14/03/2017 12:47:31	9.904606
28	14/03/2017 12:47:32	9.905164
29	14/03/2017 12:47:34	9.906498
30	14/03/2017 12:47:35	9.907534
31	14/03/2017 12:47:37	9.907961
32	14/03/2017 12:47:38	9.907061
33	14/03/2017 12:47:40	9.905240
34	14/03/2017 12:47:41	9.905766
35	14/03/2017 12:47:43	9.907131
36	14/03/2017 12:47:45	9.908140
37	14/03/2017 12:47:46	9.907170
38	14/03/2017 12:47:48	9.906022
39	14/03/2017 12:47:49	9.904841
40	14/03/2017 12:47:51	9.905526
41	14/03/2017 12:47:52	9.904852
42	14/03/2017 12:47:54	9.904109
43	14/03/2017 12:47:55	9.904222
44	14/03/2017 12:47:57	9.903478
45	14/03/2017 12:47:58	9.904249
46	14/03/2017 12:48:00	9.905532
47	14/03/2017 12:48:01	9.908212
48	14/03/2017 12:48:03	9.907914
49	14/03/2017 12:48:04	9.907322
50	14/03/2017 12:48:06	9.905415
51	14/03/2017 12:48:07	9.905304
52	14/03/2017 12:48:09	9.906114
53	14/03/2017 12:48:10	9.908472
54	14/03/2017 12:48:12	9.908007
55	14/03/2017 12:48:14	9.907030
56	14/03/2017 12:48:15	9.904937
57	14/03/2017 12:48:17	9.904993
58	14/03/2017 12:48:18	9.904193
59	14/03/2017 12:48:20	9.904677
60	14/03/2017 12:48:21	9.903963
61	14/03/2017 12:48:23	9.904115
62	14/03/2017 12:48:24	9.904127
63	14/03/2017 12:48:26	9.904652
64	14/03/2017 12:48:27	9.905532
65	14/03/2017 12:48:29	9.906559
66	14/03/2017 12:48:30	9.907431
67	14/03/2017 12:48:32	9.906625
68	14/03/2017 12:48:33	9.905166
69	14/03/2017 12:48:35	9.905595
70	14/03/2017 12:48:36	9.907088
71	14/03/2017 12:48:38	9.908576
72	14/03/2017 12:48:40	9.907970
73	14/03/2017 12:48:41	9.906668
74	14/03/2017 12:48:43	9.905122
75	14/03/2017 12:48:44	9.905781
76	14/03/2017 12:48:46	9.905578
77	14/03/2017 12:48:47	9.904520
78	14/03/2017 12:48:49	9.903650
79	14/03/2017 12:48:50	9.903663
80	14/03/2017 12:48:52	9.904050
81	14/03/2017 12:48:53	9.905215
82	14/03/2017 12:48:55	9.905777
83	14/03/2017 12:48:56	9.906783
84	14/03/2017 12:48:58	9.906060
85	14/03/2017 12:48:59	9.905208
86	14/03/2017 12:49:01	9.905082
87	14/03/2017 12:49:02	9.906027
88	14/03/2017 12:49:04	9.908672
89	14/03/2017 12:49:05	9.908639
90	14/03/2017 12:49:07	9.907526
91	14/03/2017 12:49:09	9.905108
92	14/03/2017 12:49:10	9.905149
93	14/03/2017 12:49:12	9.904484
94	14/03/2017 12:49:13	9.905169
95	14/03/2017 12:49:15	9.904396
96	14/03/2017 12:49:16	9.904515
97	14/03/2017 12:49:18	9.904094
98	14/03/2017 12:49:19	9.904310
99	14/03/2017 12:49:21	9.902764
100	14/03/2017 12:49:22	9.905180
101	14/03/2017 12:49:24	9.906086
102	14/03/2017 12:49:25	9.905986
103	14/03/2017 12:49:27	9.904852
104	14/03/2017 12:49:28	9.905354
105	14/03/2017 12:49:30	9.906779
106	14/03/2017 12:49:31	9.908318
107	14/03/2017 12:49:33	9.908344
108	14/03/2017 12:49:34	9.907158
109	14/03/2017 12:49:36	9.905210
110	14/03/2017 12:49:37	9.905805
111	14/03/2017 12:49:39	9.907107
112	14/03/2017 12:49:41	9.907756
113	14/03/2017 12:49:42	9.906749
114	14/03/2017 12:49:44	9.905679
115	14/03/2017 12:49:45	9.904689
116	14/03/2017 12:49:47	9.905395
117	14/03/2017 12:49:48	9.904622
118	14/03/2017 12:49:50	9.904220
119	14/03/2017 12:49:51	9.904725
120	14/03/2017 12:49:53	9.903461
121	14/03/2017 12:49:54	9.904173
