fieldmap_name:     	BD-017
timestamp:         	2017-03-13_08-00-00
filename:          	2017-03-13_BD-017_Model09_Hall_I=991.63A.dat
nr_magnets:        	1

magnet_name:       	BD-017
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	991.63
NI_main[A.esp]:   	11899.56
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	2.3423573001e-04  -4.2886550539e-03  -1.1017515489e-04
-48.000	0.000	-741.500	2.2524942847e-04  -4.3736044561e-03  -1.0709097625e-04
-46.000	0.000	-741.500	2.1712490356e-04  -4.4558870603e-03  -1.0418081488e-04
-44.000	0.000	-741.500	2.0834148247e-04  -4.5375363928e-03  -1.0118919862e-04
-42.000	0.000	-741.500	2.0034724777e-04  -4.6165894971e-03  -9.9154677408e-05
-40.000	0.000	-741.500	1.9105011102e-04  -4.6939823526e-03  -9.7258999776e-05
-38.000	0.000	-741.500	1.8119458768e-04  -4.7688179790e-03  -9.5013436330e-05
-36.000	0.000	-741.500	1.7179321877e-04  -4.8398372615e-03  -9.3267709761e-05
-34.000	0.000	-741.500	1.6290370423e-04  -4.9093820053e-03  -9.0925881436e-05
-32.000	0.000	-741.500	1.5278573919e-04  -4.9768709375e-03  -8.9942868913e-05
-30.000	0.000	-741.500	1.4315543177e-04  -5.0405620967e-03  -8.9052418776e-05
-28.000	0.000	-741.500	1.3411887543e-04  -5.1009216156e-03  -8.8324878434e-05
-26.000	0.000	-741.500	1.2449229059e-04  -5.1584100552e-03  -8.7080839988e-05
-24.000	0.000	-741.500	1.1515234421e-04  -5.2128194203e-03  -8.6284803482e-05
-22.000	0.000	-741.500	1.0634844894e-04  -5.2646214146e-03  -8.6258886015e-05
-20.000	0.000	-741.500	9.7844221155e-05  -5.3120425060e-03  -8.5686850479e-05
-18.000	0.000	-741.500	8.9652689856e-05  -5.3563548092e-03  -8.6138554915e-05
-16.000	0.000	-741.500	8.1120542737e-05  -5.3963679220e-03  -8.5722024185e-05
-14.000	0.000	-741.500	7.3141198343e-05  -5.4328673985e-03  -8.6488440728e-05
-12.000	0.000	-741.500	6.4886383231e-05  -5.4649636868e-03  -8.6873500247e-05
-10.000	0.000	-741.500	5.7323967492e-05  -5.4932584880e-03  -8.7145633657e-05
-8.000	0.000	-741.500	5.0656831588e-05  -5.5181065085e-03  -8.7736181670e-05
-6.000	0.000	-741.500	4.3092554561e-05  -5.5398048846e-03  -8.7786165357e-05
-4.000	0.000	-741.500	3.6561292728e-05  -5.5562253776e-03  -8.9098699968e-05
-2.000	0.000	-741.500	3.0608891662e-05  -5.5696522228e-03  -9.0390870854e-05
0.000	0.000	-741.500	2.4621126112e-05  -5.5776897588e-03  -9.2408730834e-05
2.000	0.000	-741.500	1.7875816085e-05  -5.5821820878e-03  -9.3902687718e-05
4.000	0.000	-741.500	1.2005311719e-05  -5.5823752264e-03  -9.5709505461e-05
6.000	0.000	-741.500	7.8695283641e-06  -5.5788244480e-03  -9.7425612068e-05
8.000	0.000	-741.500	2.4047849211e-06  -5.5712400447e-03  -9.9397190855e-05
10.000	0.000	-741.500	-3.2795905812e-06  -5.5596275879e-03  -1.0074489917e-04
12.000	0.000	-741.500	-8.1952538758e-06  -5.5435989433e-03  -1.0255727066e-04
14.000	0.000	-741.500	-1.3015991450e-05  -5.5245432229e-03  -1.0429929473e-04
16.000	0.000	-741.500	-1.7477500317e-05  -5.5021261485e-03  -1.0566736677e-04
18.000	0.000	-741.500	-2.1667261042e-05  -5.4746466150e-03  -1.0767226802e-04
20.000	0.000	-741.500	-2.6439605112e-05  -5.4457761122e-03  -1.0894962892e-04
22.000	0.000	-741.500	-3.0806188258e-05  -5.4122201420e-03  -1.1141549084e-04
24.000	0.000	-741.500	-3.5437074391e-05  -5.3750391092e-03  -1.1278911663e-04
26.000	0.000	-741.500	-4.0451385983e-05  -5.3339451632e-03  -1.1505504380e-04
28.000	0.000	-741.500	-4.4803078820e-05  -5.2902141328e-03  -1.1610470124e-04
30.000	0.000	-741.500	-5.0020270874e-05  -5.2451738457e-03  -1.1752275697e-04
32.000	0.000	-741.500	-5.5261659680e-05  -5.1956505152e-03  -1.1927773977e-04
34.000	0.000	-741.500	-6.0350422818e-05  -5.1428716854e-03  -1.2060508437e-04
